,G,flip,p1,post,pre,z
122,True,0,0.95,0,0.050000000000000044,0
123,True,0,0.17,19,19.83,19
124,True,0,0.19,19,19.81,19
125,True,0,0.61,1,1.3900000000000001,1
126,True,0,0.81,15,15.19,15
127,True,0,0.09,10,10.91,10
128,True,0,0.59,19,19.41,19
129,True,0,0.3,13,13.7,13
130,True,0,0.17,0,0.83,0
131,True,0,0.07,0,0.9299999999999999,0
132,True,0,0.27,16,16.73,16
133,True,0,0.33,13,13.67,13
134,True,0,0.14,11,11.86,11
135,True,0,0.67,1,1.33,1
136,True,0,0.71,13,13.29,13
137,True,0,0.68,16,16.32,16
138,True,0,0.46,19,19.54,19
139,True,0,0.85,16,16.15,16
140,True,0,0.94,2,2.06,2
141,True,0,0.73,5,5.27,5
142,True,0,0.35,6,6.65,6
143,True,0,0.69,8,8.31,8
144,True,0,0.47,9,9.53,9
145,True,0,0.91,13,13.09,13
146,True,0,0.09,18,18.91,18
147,True,0,0.09,10,10.91,10
148,True,0,0.53,9,9.47,9
149,True,0,0.47,4,4.53,4
150,True,0,0.68,4,4.32,4
151,True,0,0.89,3,3.11,3
152,True,0,0.94,11,11.06,11
153,True,0,0.27,1,1.73,1
154,True,0,0.06,2,2.94,2
155,True,0,0.21,12,12.79,12
156,True,0,0.79,17,17.21,17
157,True,0,0.92,20,20.08,20
158,True,0,0.8,14,14.2,14
159,True,0,0.68,19,19.32,19
160,True,0,0.67,8,8.33,8
161,True,0,0.77,17,17.23,17
162,True,0,0.5,11,11.5,11
163,True,0,0.51,13,13.49,13
164,True,0,0.35,11,11.65,11
165,True,0,0.42,5,5.58,5
166,True,0,0.42,12,12.58,12
167,True,0,0.46,20,20.54,20
168,True,0,0.13,10,10.87,10
169,True,0,0.27,9,9.73,9
170,True,0,0.12,17,17.88,17
171,True,0,0.74,2,2.26,2
172,True,0,0.72,8,8.28,8
173,True,0,0.86,19,19.14,19
174,True,0,0.94,2,2.06,2
175,True,0,0.57,9,9.43,9
176,True,0,0.37,5,5.63,5
177,True,0,0.36,15,15.64,15
178,True,0,0.62,10,10.38,10
179,True,0,0.09,11,11.91,11
180,True,0,0.87,14,14.13,14
181,True,0,0.31,11,11.69,11
182,True,0,0.95,13,13.05,13
183,True,0,0.63,15,15.37,15
184,True,0,0.36,5,5.64,5
185,True,0,0.49,12,12.51,12
186,True,0,0.48,4,4.52,4
187,True,0,0.79,7,7.21,7
188,True,0,0.15,1,1.85,1
189,True,0,0.37,19,19.63,19
190,True,0,0.61,14,14.39,14
191,True,0,0.09,5,5.91,5
192,True,0,0.94,7,7.0600000000000005,7
193,True,0,0.69,9,9.31,9
194,True,0,0.46,17,17.54,17
195,True,0,0.7,13,13.3,13
196,True,0,0.68,20,20.32,20
197,True,0,0.17,11,11.83,11
198,True,0,0.28,17,17.72,17
199,True,0,0.17,20,20.83,20
200,True,0,0.94,7,7.0600000000000005,7
201,True,0,0.38,18,18.62,18
202,True,0,0.15,6,6.85,6
203,True,0,0.83,9,9.17,9
204,True,0,0.87,1,1.13,1
205,True,0,0.67,3,3.33,3
206,True,0,0.58,2,2.42,2
207,True,0,0.3,0,0.7,0
208,True,0,0.3,12,12.7,12
209,True,0,0.86,12,12.14,12
210,True,0,0.8,5,5.2,5
211,True,0,0.9,17,17.1,17
212,True,0,0.74,16,16.26,16
213,True,0,0.51,13,13.49,13
214,True,0,0.85,3,3.15,3
215,True,0,0.46,10,10.54,10
216,True,0,0.61,14,14.39,14
217,True,0,0.17,2,2.83,2
218,True,0,0.73,19,19.27,19
219,True,0,0.8,13,13.2,13
220,True,0,0.57,10,10.43,10
221,True,0,0.1,8,8.9,8
222,True,0,0.94,17,17.06,17
223,True,0,0.49,4,4.51,4
224,True,0,0.89,5,5.11,5
225,True,0,0.5,2,2.5,2
226,True,0,0.16,19,19.84,19
227,True,0,0.17,1,1.83,1
228,True,0,0.2,20,20.8,20
229,True,0,0.06,18,18.94,18
230,True,0,0.05,4,4.95,4
231,True,0,0.74,18,18.26,18
232,True,0,0.16,20,20.84,20
233,True,0,0.76,3,3.24,3
234,True,0,0.85,7,7.15,7
235,True,0,0.84,17,17.16,17
236,True,0,0.7,19,19.3,19
237,True,0,0.61,13,13.39,13
238,True,0,0.35,2,2.65,2
239,True,0,0.36,19,19.64,19
240,True,0,0.78,17,17.22,17
241,True,0,0.35,12,12.65,12
242,True,0,0.9,8,8.1,8
243,True,0,0.56,17,17.44,17
244,True,0,0.11,17,17.89,17
245,True,0,0.07,3,3.9299999999999997,3
246,True,0,0.55,9,9.45,9
