,G,M,n,p,post,pre,x
54,True,18,5,0.9,3,14.7,3
55,True,19,3,0.42,6,12.719999999999999,6
56,True,11,8,0.29,13,13.870000000000001,13
57,True,10,7,0.84,17,19.52,17
58,True,18,15,0.67,2,4.01,2
59,True,11,9,0.09,9,9.18,9
60,True,20,5,0.67,4,14.05,4
61,True,5,0,0.7,17,20.5,17
62,True,16,10,0.38,8,10.280000000000001,8
63,True,20,1,0.9,6,23.1,6
64,True,16,0,0.18,15,17.88,15
65,True,13,3,0.43,4,8.3,4
66,True,17,3,0.37,7,12.18,7
67,True,19,7,0.15,18,19.8,18
68,True,15,6,0.3,2,4.7,2
69,True,18,11,0.38,14,16.66,14
70,True,14,2,0.93,6,17.160000000000004,6
71,True,5,4,0.52,18,18.52,18
72,True,20,6,0.28,20,23.92,20
73,True,13,3,0.94,8,17.4,8
74,True,16,14,0.35,13,13.7,13
75,True,17,4,0.39,2,7.07,2
76,True,10,2,0.79,20,26.32,20
77,True,10,7,0.59,13,14.77,13
78,True,12,0,0.81,5,14.72,5
79,True,10,8,0.6,19,20.2,19
80,True,10,4,0.38,7,9.28,7
81,True,14,2,0.5,20,26.0,20
82,True,10,2,0.27,18,20.16,18
83,True,6,3,0.3,11,11.9,11
84,True,13,5,0.05,9,9.4,9
85,True,12,10,0.09,19,19.18,19
86,True,17,16,0.43,8,8.43,8
87,True,13,7,0.92,3,8.52,3
88,True,18,0,0.18,0,3.2399999999999998,0
89,True,19,7,0.78,8,17.36,8
90,True,9,1,0.29,19,21.32,19
91,True,18,4,0.56,4,11.840000000000002,4
92,True,13,0,0.25,8,11.25,8
93,True,20,15,0.3,17,18.5,17
94,True,10,2,0.47,4,7.76,4
95,True,9,5,0.41,7,8.64,7
96,True,13,9,0.63,10,12.52,10
97,True,13,4,0.5,3,7.5,3
98,True,20,16,0.86,2,5.4399999999999995,2
99,True,7,5,0.81,17,18.619999999999997,17
100,True,8,7,0.08,15,15.08,15
101,True,14,12,0.35,15,15.7,15
102,True,18,2,0.25,15,19.0,15
103,True,20,0,0.69,6,19.799999999999997,6
104,True,19,3,0.5,2,10.0,2
105,True,15,4,0.83,11,20.13,11
106,True,11,4,0.71,1,5.97,1
107,True,19,1,0.05,10,10.9,10
108,True,12,0,0.31,15,18.72,15
109,True,16,2,0.32,17,21.48,17
110,True,16,13,0.82,18,20.46,18
111,True,16,4,0.24,11,13.879999999999999,11
112,True,5,3,0.26,4,4.52,4
113,True,13,4,0.69,3,9.209999999999999,3
114,True,20,11,0.81,20,27.290000000000003,20
115,True,18,9,0.93,18,26.37,18
116,True,2,1,0.48,19,19.48,19
117,True,1,0,0.32,18,18.32,18
118,True,20,5,0.65,6,15.75,6
119,True,13,6,0.13,14,14.91,14
120,True,9,5,0.71,17,19.84,17
121,True,13,6,0.38,7,9.66,7
122,True,13,12,0.48,15,15.48,15
123,True,10,2,0.61,18,22.88,18
124,True,18,13,0.4,4,6.0,4
125,True,20,18,0.54,10,11.08,10
126,True,11,0,0.95,18,28.45,18
127,True,19,4,0.53,16,23.95,16
128,True,20,4,0.06,12,12.96,12
129,True,18,14,0.2,6,6.8,6
130,True,14,10,0.57,5,7.28,5
131,True,12,8,0.67,5,7.680000000000001,5
132,True,13,7,0.47,4,6.819999999999999,4
133,True,9,6,0.81,11,13.43,11
134,True,11,9,0.75,14,15.5,14
135,True,18,0,0.9,19,35.2,19
136,True,7,4,0.6,4,5.800000000000001,4
137,True,15,0,0.29,7,11.35,7
138,True,8,4,0.06,3,3.24,3
139,True,16,12,0.51,9,11.04,9
140,True,18,6,0.47,9,14.639999999999999,9
141,True,20,16,0.83,7,10.319999999999999,7
142,True,18,15,0.38,17,18.14,17
143,True,12,5,0.82,13,18.740000000000002,13
144,True,19,4,0.54,16,24.1,16
145,True,6,0,0.6,20,23.6,20
146,True,7,4,0.7,18,20.1,18
147,True,18,1,0.5,1,9.5,1
148,True,7,3,0.34,14,15.36,14
149,True,20,2,0.37,5,11.66,5
150,True,20,13,0.65,5,9.549999999999999,5
151,True,18,16,0.64,8,9.28,8
152,True,8,6,0.29,3,3.58,3
153,True,15,13,0.7,15,16.4,15
154,True,18,15,0.19,11,11.57,11
155,True,15,1,0.26,12,15.64,12
156,True,6,5,0.61,4,4.61,4
157,True,7,2,0.75,16,19.75,16
158,True,7,0,0.15,1,2.05,1
159,True,10,3,0.29,3,5.03,3
160,True,12,4,0.34,2,4.72,2
161,True,19,4,0.75,0,11.25,0
162,True,4,2,0.4,12,12.8,12
163,True,16,8,0.47,0,3.76,0
164,True,17,4,0.33,15,19.29,15
165,True,11,1,0.78,0,7.8,0
166,True,19,0,0.47,7,15.93,7
167,True,15,8,0.74,14,19.18,14
168,True,14,10,0.38,9,10.52,9
169,True,15,0,0.55,13,21.25,13
170,True,20,9,0.8,10,18.8,10
171,True,16,1,0.21,16,19.15,16
172,True,16,6,0.76,13,20.6,13
173,True,19,10,0.51,3,7.59,3
174,True,18,7,0.46,2,7.0600000000000005,2
175,True,15,14,0.33,19,19.33,19
176,True,18,15,0.15,2,2.4499999999999997,2
177,True,20,6,0.32,11,15.48,11
178,True,20,2,0.92,20,36.56,20
179,True,10,4,0.12,10,10.72,10
180,True,3,2,0.53,19,19.53,19
181,True,7,3,0.23,15,15.92,15
182,True,16,14,0.52,16,17.04,16
183,True,17,6,0.31,1,4.41,1
184,True,14,8,0.75,0,4.5,0
185,True,11,0,0.75,2,10.25,2
186,True,14,7,0.2,8,9.4,8
187,True,3,1,0.63,0,1.2600000000000002,0
188,True,11,0,0.15,15,16.65,15
189,True,4,3,0.19,18,18.19,18
190,True,16,3,0.2,3,5.6,3
191,True,14,9,0.56,13,15.8,13
192,True,16,1,0.17,10,12.55,10
193,True,18,8,0.19,6,7.9,6
194,True,7,0,0.76,6,11.32,6
195,True,1,0,0.18,3,3.18,3
196,True,4,3,0.22,15,15.22,15
197,True,18,15,0.46,12,13.38,12
198,True,8,7,0.21,17,17.21,17
199,True,18,10,0.7,7,12.6,7
200,True,19,1,0.56,8,18.08,8
201,True,9,4,0.85,6,10.25,6
202,True,7,5,0.25,9,9.5,9
203,True,7,6,0.41,9,9.41,9
204,True,14,1,0.67,3,11.71,3
205,True,16,0,0.16,15,17.56,15
206,True,19,10,0.9,6,14.100000000000001,6
207,True,16,12,0.05,11,11.2,11
208,True,20,3,0.23,1,4.91,1
209,True,18,16,0.8,16,17.6,16
210,True,7,2,0.31,16,17.55,16
211,True,3,2,0.51,14,14.51,14
212,True,11,0,0.71,6,13.809999999999999,6
213,True,11,3,0.68,1,6.44,1
214,True,9,5,0.21,17,17.84,17
215,True,18,0,0.45,9,17.1,9
216,True,12,5,0.23,15,16.61,15
217,True,14,7,0.28,1,2.96,1
218,True,19,10,0.63,18,23.67,18
219,True,20,8,0.12,1,2.44,1
220,True,16,2,0.12,17,18.68,17
221,True,4,2,0.64,14,15.28,14
222,True,15,1,0.68,7,16.520000000000003,7
223,True,20,14,0.85,19,24.1,19
224,True,10,9,0.71,5,5.71,5
225,True,6,1,0.4,0,2.0000000000000004,0
226,True,8,2,0.27,9,10.620000000000001,9
227,True,20,9,0.58,4,10.379999999999999,4
228,True,7,3,0.47,5,6.88,5
229,True,18,2,0.71,16,27.36,16
230,True,15,14,0.9,11,11.9,11
231,True,15,2,0.88,1,12.44,1
232,True,17,4,0.53,8,14.89,8
233,True,12,2,0.63,13,19.3,13
234,True,19,2,0.06,8,9.02,8
235,True,12,7,0.94,1,5.699999999999999,1
0,True,1,0,0.01,0,0.01,0
1,True,25,23,0.01,0,0.01999999999999999,0
2,True,25,0,0.01,0,0.25,0
3,True,25,24,0.99,25,25.990000000000002,25
4,True,25,24,0.99,25,25.990000000000002,25
5,True,25,24,0.01,0,0.010000000000000009,0
6,True,25,23,0.01,0,0.01999999999999999,0
7,True,25,0,0.99,25,49.75,25
8,True,25,0,0.01,0,0.25,0
9,True,25,0,0.99,0,24.75,0
10,True,25,24,0.01,0,0.010000000000000009,0
11,True,25,23,0.01,0,0.01999999999999999,0
12,True,25,0,0.99,25,49.75,25
13,True,25,0,0.01,0,0.25,0
14,True,25,0,0.99,0,24.75,0
0,True,10,6,0.7,0,2.8000000000000007,0
1,True,20,7,0.13,3,4.6899999999999995,3
2,True,8,0,0.44,17,20.52,17
3,True,20,7,0.93,14,26.09,14
4,True,13,0,0.19,9,11.47,9
5,True,17,15,0.32,7,7.640000000000001,7
6,True,20,17,0.61,5,6.83,5
7,True,18,9,0.12,15,16.08,15
8,True,14,7,0.9,12,18.3,12
9,True,18,3,0.92,13,26.800000000000004,13
10,True,20,1,0.13,12,14.47,12
11,True,15,13,0.08,7,7.16,7
12,True,12,9,0.33,14,14.99,14
13,True,15,14,0.9,14,14.9,14
14,True,19,2,0.42,2,9.14,2
15,True,10,8,0.13,17,17.26,17
16,True,18,10,0.57,9,13.56,9
17,True,11,1,0.47,1,5.7,1
18,True,5,0,0.34,0,1.7000000000000002,0
19,True,2,1,0.4,14,14.4,14
20,True,14,10,0.07,5,5.28,5
21,True,20,12,0.88,0,7.040000000000001,0
0,True,1,0,0.99,0,0.99,0
1,True,25,23,0.01,0,0.01999999999999999,0
2,True,25,0,0.01,0,0.25,0
3,True,25,24,0.99,0,0.990000000000002,0
4,True,25,24,0.99,25,25.990000000000002,25
5,True,1,0,0.99,0,0.99,0
6,True,25,23,0.01,0,0.01999999999999999,0
7,True,25,24,0.00999999999999997,25,25.01,25
8,True,25,0,0.01,0,0.25,0
9,True,25,0,0.99,25,49.75,25
10,True,1,0,0.99,0,0.99,0
11,True,25,23,0.01,0,0.01999999999999999,0
12,True,25,24,0.01,25,25.01,25
13,True,1,0,0.01,0,0.01,0
14,True,25,0,0.01,0,0.25,0
15,True,25,23,0.99,25,26.98,25
0,True,15,10,0.28,1,2.4,1
1,True,18,0,0.77,15,28.86,15
2,True,13,5,0.07,18,18.56,18
3,True,20,14,0.39,14,16.34,14
4,True,12,11,0.06,8,8.06,8
5,True,19,5,0.4,7,12.600000000000001,7
6,True,14,10,0.91,20,23.64,20
7,True,19,9,0.4,15,19.0,15
8,True,20,2,0.68,5,17.240000000000002,5
9,True,2,1,0.72,0,0.72,0
10,True,15,4,0.18,8,9.98,8
11,True,17,16,0.08,0,0.08000000000000007,0
12,True,10,4,0.61,8,11.66,8
13,True,16,12,0.66,13,15.64,13
14,True,20,19,0.27,16,16.27,16
15,True,10,0,0.85,6,14.5,6
16,True,15,2,0.41,14,19.33,14
17,True,15,7,0.86,4,10.88,4
18,True,18,3,0.75,20,31.25,20
19,True,3,1,0.16,3,3.32,3
20,True,9,4,0.87,0,4.35,0
21,True,19,1,0.53,5,14.540000000000001,5
22,True,15,5,0.45,14,18.5,14
23,True,19,0,0.07,7,8.33,7
24,True,9,1,0.71,5,10.68,5
0,True,25,23,0.01,0,0.01999999999999999,0
1,True,25,0,0.01,0,0.25,0
2,True,1,0,0.01,0,0.01,0
3,True,25,0,0.989999999933129,13,37.74999999832822,13
4,True,25,24,0.01,0,0.010000000000000009,0
5,True,25,0,0.99,0,24.75,0
6,True,1,0,0.01,0,0.01,0
7,True,25,23,0.01,0,0.01999999999999999,0
8,True,1,0,0.01,0,0.01,0
9,True,25,0,0.01,0,0.25,0
10,True,1,0,0.01,0,0.01,0
11,True,25,23,0.01,0,0.01999999999999999,0
12,True,25,24,0.99,0,0.990000000000002,0
13,True,1,0,0.01,0,0.01,0
14,True,25,0,0.01,0,0.25,0
0,True,16,12,0.66,4,6.640000000000001,4
1,True,3,0,0.18,11,11.54,11
2,True,15,2,0.84,9,19.92,9
3,True,12,2,0.53,11,16.3,11
4,True,14,2,0.54,20,26.48,20
5,True,15,10,0.69,20,23.45,20
6,True,12,11,0.31,1,1.3099999999999996,1
7,True,16,9,0.12,11,11.84,11
8,True,19,10,0.53,0,4.77,0
9,True,17,10,0.92,8,14.44,8
10,True,17,14,0.59,9,10.77,9
11,True,18,17,0.05,8,8.05,8
12,True,16,14,0.9,12,13.8,12
13,True,19,15,0.56,11,13.24,11
14,True,20,15,0.24,9,10.2,9
15,True,20,5,0.65,18,27.75,18
16,True,17,12,0.44,5,7.2,5
17,True,19,7,0.51,15,21.119999999999997,15
18,True,15,8,0.68,1,5.760000000000001,1
19,True,17,1,0.58,1,10.28,1
20,True,15,12,0.33,3,3.99,3
21,True,10,1,0.9,10,18.1,10
22,True,7,1,0.7,11,15.2,11
23,True,15,6,0.38,9,12.42,9
24,True,10,6,0.05,12,12.2,12
0,True,25,23,0.01,0,0.01999999999999999,0
1,True,25,0,0.01,0,0.25,0
2,True,25,24,0.99,0,0.990000000000002,0
3,True,25,24,0.99,25,25.990000000000002,25
4,True,25,24,0.01,0,0.010000000000000009,0
5,True,25,23,0.01,0,0.01999999999999999,0
6,True,1,0,0.99,0,0.99,0
7,True,14,13,0.01,0,0.010000000000000009,0
8,True,25,0,0.01,0,0.25,0
9,True,25,24,0.01,25,25.01,25
10,True,25,23,0.01,0,0.01999999999999999,0
11,True,1,0,0.9899999865904668,0,0.9899999865904668,0
12,True,1,0,0.01,24,24.01,24
13,True,25,0,0.01,0,0.25,0
0,True,9,1,0.4,4,7.2,4
1,True,4,3,0.88,9,9.879999999999999,9
2,True,3,1,0.27,5,5.54,5
3,True,10,4,0.17,16,17.02,16
4,True,17,13,0.4,8,9.600000000000001,8
5,True,19,1,0.45,18,26.1,18
6,True,11,1,0.82,6,14.2,6
7,True,18,0,0.4,3,10.2,3
8,True,7,3,0.87,6,9.48,6
9,True,12,11,0.51,16,16.509999999999998,16
10,True,20,7,0.11,5,6.43,5
11,True,18,13,0.51,17,19.55,17
12,True,7,1,0.53,12,15.18,12
13,True,8,2,0.37,5,7.22,5
14,True,17,9,0.15,3,4.2,3
15,True,19,17,0.63,9,10.26,9
16,True,15,0,0.09,7,8.35,7
17,True,20,13,0.77,10,15.39,10
18,True,16,4,0.1,13,14.2,13
19,True,9,4,0.81,3,7.050000000000001,3
20,True,19,0,0.29,20,25.509999999999998,20
21,True,20,15,0.41,3,5.05,3
22,True,9,4,0.1,15,15.5,15
0,True,25,23,0.01,0,0.01999999999999999,0
1,True,25,0,0.01,0,0.25,0
2,True,25,24,0.99,0,0.990000000000002,0
3,True,25,24,0.99,25,25.990000000000002,25
4,True,1,0,0.99,0,0.99,0
5,True,25,23,0.01,0,0.01999999999999999,0
6,True,1,0,0.49500000000000166,0,0.49500000000000166,0
7,True,25,0,0.01,0,0.25,0
8,True,1,0,0.99,0,0.99,0
9,True,25,23,0.01,0,0.01999999999999999,0
10,True,25,24,0.01,25,25.01,25
11,True,1,0,0.45333333333333253,0,0.45333333333333253,0
12,True,25,0,0.01,0,0.25,0
13,True,25,24,0.99,25,25.990000000000002,25
0,True,9,7,0.38,20,20.759999999999998,20
1,True,13,2,0.06,8,8.66,8
2,True,20,10,0.32,19,22.2,19
3,True,18,2,0.38,9,15.08,9
4,True,17,1,0.64,6,16.240000000000002,6
5,True,12,7,0.84,4,8.2,4
6,True,7,3,0.28,5,6.12,5
7,True,9,4,0.27,15,16.35,15
8,True,14,9,0.34,14,15.700000000000001,14
9,True,20,15,0.53,7,9.650000000000002,7
10,True,15,2,0.73,11,20.49,11
11,True,12,3,0.94,7,15.459999999999999,7
12,True,16,3,0.89,4,15.57,4
13,True,14,8,0.14,1,1.84,1
14,True,9,6,0.33,15,15.99,15
15,True,13,6,0.8,5,10.6,5
16,True,16,5,0.64,12,19.04,12
17,True,19,16,0.22,3,3.6599999999999997,3
18,True,9,4,0.76,1,4.8,1
19,True,6,4,0.19,20,20.38,20
20,True,18,2,0.3,20,24.8,20
21,True,19,10,0.78,13,20.02,13
22,True,20,17,0.55,5,6.649999999999999,5
