,(1+p1),(1-p1),(flip*flip),(x*x),(x-z),(z*x),(z*z),(z+x),(z-x),expected_post,flip,p1,post-init,x,z
54,1.75,0.25,0,36,-8,84,196,20,8,14.334,0,0.75,0.33399999999999963,6,14
55,1.83,0.17,0,64,2,48,36,14,-2,6.22,0,0.83,0.21999999999999975,8,6
56,1.2,0.8,0,400,7,260,169,33,-7,16.954,0,0.2,3.9540000000000006,20,13
57,1.18,0.82,0,81,-11,180,400,29,11,24.446,0,0.18,4.4460000000000015,9,20
58,1.18,0.82,0,9,-15,54,324,21,15,22.642,0,0.18,4.6419999999999995,3,18
59,1.27,0.73,0,4,-13,30,225,17,13,17.722,0,0.27,2.7220000000000013,2,15
60,1.76,0.24,0,9,-1,12,16,7,1,4.28,0,0.76,0.28000000000000025,3,4
61,1.71,0.29,0,225,15,0,0,15,-15,0.388,0,0.71,0.388,15,0
62,1.65,0.35,0,36,-12,108,324,24,12,18.558,0,0.65,0.5579999999999998,6,18
63,1.65,0.35,0,9,-14,51,289,20,14,17.632,0,0.65,0.6320000000000014,3,17
64,1.74,0.26,0,256,-1,272,289,33,1,17.342,0,0.74,0.34199999999999875,16,17
65,1.57,0.43,0,169,0,169,169,26,0,13.714,0,0.57,0.7140000000000004,13,13
66,1.67,0.33,0,81,-2,99,121,20,2,11.516,0,0.67,0.516,9,11
67,1.4,0.6,0,100,-9,190,361,29,9,20.44,0,0.4,1.4400000000000013,10,19
68,1.5,0.5,0,4,-2,8,16,6,2,4.88,0,0.5,0.8799999999999999,2,4
69,1.27,0.73,0,36,1,30,25,11,-1,7.756,0,0.27,2.7560000000000002,6,5
70,1.15,0.85,0,100,-1,110,121,21,1,16.674,0,0.15,5.6739999999999995,10,11
71,1.76,0.24,0,256,3,208,169,29,-3,13.324,0,0.76,0.32399999999999984,16,13
72,1.74,0.26,0,256,-4,320,400,36,4,20.422,0,0.74,0.4220000000000006,16,20
73,1.4,0.6,0,100,6,40,16,14,-6,5.494,0,0.4,1.4939999999999998,10,4
74,1.84,0.16,0,256,4,192,144,28,-4,12.198,0,0.84,0.1980000000000004,16,12
75,1.09,0.91,0,289,12,85,25,22,-12,15.13,0,0.09,10.13,17,5
76,1.27,0.73,0,25,2,15,9,8,-2,5.756,0,0.27,2.7560000000000002,5,3
77,1.47,0.53,0,4,-9,22,121,13,9,12.064,0,0.47,1.064,2,11
78,1.74,0.26,0,121,0,121,121,22,0,11.358,0,0.74,0.35800000000000054,11,11
79,1.73,0.27,0,0,-6,0,36,6,6,6.39,0,0.73,0.3899999999999997,0,6
80,1.56,0.44,0,324,2,288,256,34,-2,16.7,0,0.56,0.6999999999999993,18,16
81,1.92,0.08,0,324,9,162,81,27,-9,9.09,0,0.92,0.08999999999999986,18,9
82,1.3,0.7,0,169,6,91,49,20,-6,9.242,0,0.3,2.242000000000001,13,7
83,1.75,0.25,0,36,-12,108,324,24,12,18.318,0,0.75,0.3180000000000014,6,18
84,1.35,0.65,0,49,-6,91,169,20,6,14.908,0,0.35,1.9079999999999995,7,13
85,1.61,0.39,0,4,-3,10,25,7,3,5.66,0,0.61,0.6600000000000001,2,5
86,1.71,0.29,0,9,-3,18,36,9,3,6.406,0,0.71,0.4059999999999997,3,6
87,1.46,0.54,0,324,16,36,4,20,-16,2.994,0,0.46,0.9940000000000002,18,2
88,1.4,0.6,0,25,-7,60,144,17,7,13.452,0,0.4,1.452,5,12
89,1.36,0.64,0,0,-1,0,1,1,1,2.644,0,0.36,1.6440000000000001,0,1
90,1.91,0.09,0,289,17,0,0,17,-17,0.088,0,0.91,0.088,17,0
91,1.18,0.82,0,400,19,20,1,21,-19,5.498,0,0.18,4.498,20,1
92,1.42,0.58,0,225,8,105,49,22,-8,8.272,0,0.42,1.2720000000000002,15,7
93,1.61,0.39,0,225,11,60,16,19,-11,4.614,0,0.61,0.6139999999999999,15,4
94,1.78,0.22,0,64,1,56,49,15,-1,7.282,0,0.78,0.28200000000000003,8,7
95,1.17,0.83,0,225,5,150,100,25,-5,14.65,0,0.17,4.65,15,10
96,1.1,0.9,0,169,12,13,1,14,-12,9.478,0,0.1,8.478,13,1
97,1.39,0.61,0,144,-3,180,225,27,3,16.562,0,0.39,1.5620000000000012,12,15
98,1.28,0.72,0,16,1,12,9,7,-1,5.704,0,0.28,2.7039999999999997,4,3
99,1.51,0.49,0,361,9,190,100,29,-9,10.816,0,0.51,0.8160000000000007,19,10
100,1.94,0.06,0,0,-3,0,9,3,3,3.074,0,0.94,0.07399999999999984,0,3
101,1.08,0.92,0,100,5,50,25,15,-5,16.386,0,0.08,11.386,10,5
102,1.42,0.58,0,4,-4,12,36,8,4,7.516,0,0.42,1.516,2,6
103,1.6,0.4,0,169,8,65,25,18,-8,5.632,0,0.6,0.6319999999999997,13,5
104,1.16,0.84,0,16,-13,68,289,21,13,22.012,0,0.16,5.0120000000000005,4,17
105,1.55,0.45,0,25,-2,35,49,12,2,7.8,0,0.55,0.7999999999999998,5,7
106,1.1,0.9,0,196,-4,252,324,32,4,27.08,0,0.1,9.079999999999998,14,18
107,1.5,0.5,0,64,5,24,9,11,-5,4.02,0,0.5,1.0199999999999996,8,3
108,1.77,0.23,0,100,8,20,4,12,-8,2.31,0,0.77,0.31000000000000005,10,2
109,1.4,0.6,0,64,8,0,0,8,-8,1.48,0,0.4,1.48,8,0
110,1.54,0.46,0,324,6,216,144,30,-6,12.91,0,0.54,0.9100000000000001,18,12
111,1.25,0.75,0,225,-3,270,324,33,3,20.624,0,0.25,2.6239999999999988,15,18
112,1.12,0.88,0,324,1,306,289,35,-1,24.862,0,0.12,7.861999999999998,18,17
113,1.77,0.23,0,361,5,266,196,33,-5,14.286,0,0.77,0.2859999999999996,19,14
114,1.46,0.54,0,324,13,90,25,23,-13,6.17,0,0.46,1.17,18,5
115,1.57,0.43,0,144,3,108,81,21,-3,9.724,0,0.57,0.7240000000000002,12,9
116,1.38,0.62,0,144,-6,216,324,30,6,19.604,0,0.38,1.6039999999999992,12,18
117,1.68,0.32,0,36,2,24,16,10,-2,4.422,0,0.68,0.4219999999999997,6,4
118,1.95,0.05,0,25,-14,95,361,24,14,19.066,0,0.95,0.06599999999999895,5,19
119,1.45,0.55,0,361,18,19,1,20,-18,2.258,0,0.45,1.258,19,1
120,1.38,0.62,0,144,-1,156,169,25,1,14.758,0,0.38,1.7579999999999991,12,13
121,1.29,0.71,0,64,-7,120,225,23,7,17.55,0,0.29,2.5500000000000007,8,15
122,1.38,0.62,0,36,-9,90,225,21,9,16.594,0,0.38,1.5940000000000012,6,15
123,1.74,0.26,0,0,0,0,0,0,0,0.302,0,0.74,0.302,0,0
124,1.21,0.79,0,25,-14,95,361,24,14,23.038,0,0.21,4.038,5,19
125,1.53,0.47,0,144,9,36,9,15,-9,3.938,0,0.53,0.9380000000000002,12,3
126,1.06,0.94,0,64,0,64,64,16,0,24.17,0,0.06,16.17,8,8
127,1.15,0.85,0,196,8,84,36,20,-8,11.446,0,0.15,5.446,14,6
128,1.11,0.89,0,256,4,192,144,28,-4,20.386,0,0.11,8.386,16,12
129,1.5,0.5,0,100,-10,200,400,30,10,21.118,0,0.5,1.1179999999999986,10,20
130,1.16,0.84,0,9,3,0,0,3,-3,5.01,0,0.16,5.01,3,0
131,1.33,0.67,0,0,-17,0,289,17,17,19.016,0,0.33,2.0159999999999982,0,17
132,1.17,0.83,0,225,-1,240,256,31,1,21.58,0,0.17,5.579999999999998,15,16
133,1.47,0.53,0,49,7,0,0,7,-7,1.234,0,0.47,1.234,7,0
134,1.23,0.77,0,256,11,80,25,21,-11,8.594,0,0.23,3.5939999999999994,16,5
135,1.49,0.51,0,144,0,144,144,24,0,13.022,0,0.49,1.0220000000000002,12,12
136,1.22,0.78,0,144,-1,156,169,25,1,16.906,0,0.22,3.905999999999999,12,13
137,1.77,0.23,0,144,-5,204,289,29,5,17.29,0,0.77,0.28999999999999915,12,17
138,1.9,0.1,0,9,-15,54,324,21,15,18.118,0,0.9,0.11799999999999855,3,18
139,1.11,0.89,0,100,-9,190,361,29,9,26.79,0,0.11,7.789999999999999,10,19
140,1.1,0.9,0,100,-8,180,324,28,8,27.004,0,0.1,9.004000000000001,10,18
141,1.08,0.92,0,36,5,6,1,7,-5,12.272,0,0.08,11.272,6,1
142,1.4,0.6,0,64,-6,112,196,22,6,15.542,0,0.4,1.5419999999999998,8,14
143,1.31,0.69,0,361,4,285,225,34,-4,17.332,0,0.31,2.3320000000000007,19,15
144,1.84,0.16,0,9,-8,33,121,14,8,11.206,0,0.84,0.20599999999999952,3,11
145,1.68,0.32,0,400,8,240,144,32,-8,12.46,0,0.68,0.46000000000000085,20,12
146,1.65,0.35,0,25,4,5,1,6,-4,1.466,0,0.65,0.46599999999999997,5,1
147,1.57,0.43,0,49,3,28,16,11,-3,4.746,0,0.57,0.7460000000000004,7,4
148,1.43,0.57,0,100,-2,120,144,22,2,13.23,0,0.43,1.2300000000000004,10,12
149,1.23,0.77,0,4,-11,26,169,15,11,16.44,0,0.23,3.4400000000000013,2,13
150,1.68,0.32,0,1,1,0,0,1,-1,0.462,0,0.68,0.462,1,0
151,1.39,0.61,0,81,2,63,49,16,-2,8.628,0,0.39,1.6280000000000001,9,7
152,1.66,0.34,0,81,9,0,0,9,-9,0.506,0,0.66,0.506,9,0
153,1.32,0.68,0,289,17,0,0,17,-17,2.272,0,0.32,2.272,17,0
154,1.54,0.46,0,1,-2,3,9,4,2,3.85,0,0.54,0.8500000000000001,1,3
155,1.38,0.62,0,49,-5,84,144,19,5,13.622,0,0.38,1.6219999999999999,7,12
156,1.48,0.52,0,16,3,4,1,5,-3,2.06,0,0.48,1.06,4,1
157,1.37,0.63,0,225,11,60,16,19,-11,5.648,0,0.37,1.6479999999999997,15,4
158,1.64,0.36,0,25,-6,55,121,16,6,11.466,0,0.64,0.4659999999999993,5,11
159,1.11,0.89,0,169,6,91,49,20,-6,14.648,0,0.11,7.648,13,7
160,1.13,0.87,0,196,0,196,196,28,0,20.452,0,0.13,6.452000000000002,14,14
161,1.62,0.38,0,289,-3,340,400,37,3,20.678,0,0.62,0.6780000000000008,17,20
162,1.92,0.08,0,36,-3,54,81,15,3,9.108,0,0.92,0.10800000000000054,6,9
163,1.13,0.87,0,169,2,143,121,24,-2,17.732,0,0.13,6.731999999999999,13,11
164,1.1,0.9,0,400,7,260,169,33,-7,21.948,0,0.1,8.948,20,13
165,1.55,0.45,0,169,2,143,121,24,-2,11.812,0,0.55,0.8119999999999994,13,11
166,1.44,0.56,0,225,8,105,49,22,-8,8.194,0,0.44,1.1940000000000008,15,7
167,1.21,0.79,0,16,-9,52,169,17,9,16.678,0,0.21,3.678000000000001,4,13
168,1.65,0.35,0,225,12,45,9,18,-12,3.464,0,0.65,0.46399999999999997,15,3
169,1.58,0.42,0,324,0,324,324,36,0,18.77,0,0.58,0.7699999999999996,18,18
170,1.16,0.84,0,16,-6,40,100,14,6,15.27,0,0.16,5.27,4,10
171,1.16,0.84,0,289,2,255,225,32,-2,20.148,0,0.16,5.148,17,15
172,1.52,0.48,0,16,-7,44,121,15,7,11.892,0,0.52,0.8919999999999995,4,11
173,1.91,0.09,0,144,8,48,16,16,-8,4.102,0,0.91,0.10200000000000031,12,4
174,1.93,0.07,0,400,9,220,121,31,-9,11.076,0,0.93,0.07600000000000051,20,11
175,1.41,0.59,0,0,-15,0,225,15,15,16.306,0,0.41,1.306000000000001,0,15
176,1.68,0.32,0,49,0,49,49,14,0,7.496,0,0.68,0.49600000000000044,7,7
177,1.6,0.4,0,256,-3,304,361,35,3,19.648,0,0.6,0.6479999999999997,16,19
178,1.62,0.38,0,256,6,160,100,26,-6,10.64,0,0.62,0.6400000000000006,16,10
179,1.67,0.33,0,9,-2,15,25,8,2,5.512,0,0.67,0.5119999999999996,3,5
180,1.22,0.78,0,289,2,255,225,32,-2,19.096,0,0.22,4.096,17,15
181,1.81,0.19,0,196,9,70,25,19,-9,5.236,0,0.81,0.23599999999999977,14,5
182,1.69,0.31,0,225,-4,285,361,34,4,19.476,0,0.69,0.4759999999999991,15,19
183,1.65,0.35,0,36,6,0,0,6,-6,0.556,0,0.65,0.556,6,0
184,1.14,0.86,0,400,20,0,0,20,-20,6.102,0,0.14,6.102,20,0
185,1.91,0.09,0,1,-2,3,9,4,2,3.124,0,0.91,0.12400000000000011,1,3
186,1.92,0.08,0,49,1,42,36,13,-1,6.094,0,0.92,0.0940000000000003,7,6
187,1.14,0.86,0,16,-15,76,361,23,15,24.982,0,0.14,5.981999999999999,4,19
188,1.16,0.84,0,361,-1,380,400,39,1,24.602,0,0.16,4.602,19,20
189,1.51,0.49,0,400,6,280,196,34,-6,15.022,0,0.51,1.0220000000000002,20,14
190,1.45,0.55,0,25,-7,60,144,17,7,13.068,0,0.45,1.0679999999999996,5,12
191,1.58,0.42,0,1,-11,12,144,13,11,12.658,0,0.58,0.6579999999999995,1,12
192,1.43,0.57,0,400,5,300,225,35,-5,16.34,0,0.43,1.3399999999999999,20,15
193,1.82,0.18,0,49,-13,140,400,27,13,20.222,0,0.82,0.2220000000000013,7,20
194,1.16,0.84,0,256,12,64,16,20,-12,9.16,0,0.16,5.16,16,4
195,1.91,0.09,0,256,3,208,169,29,-3,13.108,0,0.91,0.10800000000000054,16,13
196,1.12,0.88,0,289,8,153,81,26,-8,16.464,0,0.12,7.463999999999999,17,9
197,1.76,0.24,0,100,3,70,49,17,-3,7.308,0,0.76,0.30799999999999983,10,7
198,1.92,0.08,0,16,-1,20,25,9,1,5.084,0,0.92,0.08399999999999963,4,5
199,1.64,0.36,0,81,-4,117,169,22,4,13.524,0,0.64,0.5239999999999991,9,13
200,1.48,0.52,0,100,9,10,1,11,-9,2.224,0,0.48,1.2240000000000002,10,1
201,1.16,0.84,0,121,10,11,1,12,-10,5.764,0,0.16,4.764,11,1
202,1.41,0.59,0,1,-1,2,4,3,1,3.314,0,0.41,1.314,1,2
203,1.44,0.56,0,361,19,0,0,19,-19,1.26,0,0.44,1.26,19,0
204,1.67,0.33,0,1,-19,20,400,21,19,20.53,0,0.67,0.5300000000000011,1,20
205,1.86,0.14,0,144,3,108,81,21,-3,9.174,0,0.86,0.1739999999999995,12,9
206,1.78,0.22,0,289,9,136,64,25,-9,8.312,0,0.78,0.3119999999999994,17,8
207,1.68,0.32,0,81,7,18,4,11,-7,2.452,0,0.68,0.45199999999999996,9,2
208,1.78,0.22,0,225,-1,240,256,31,1,16.284,0,0.78,0.2839999999999989,15,16
209,1.36,0.64,0,225,13,30,4,17,-13,3.79,0,0.36,1.79,15,2
210,1.66,0.34,0,25,-5,50,100,15,5,10.548,0,0.66,0.548,5,10
211,1.38,0.62,0,9,-11,42,196,17,11,15.584,0,0.38,1.5839999999999996,3,14
212,1.55,0.45,0,289,13,68,16,21,-13,4.812,0,0.55,0.8120000000000003,17,4
213,1.42,0.58,0,36,-13,114,361,25,13,20.442,0,0.42,1.4420000000000002,6,19
214,1.28,0.72,0,289,-3,340,400,37,3,22.534,0,0.28,2.533999999999999,17,20
215,1.41,0.59,0,25,1,20,16,9,-1,5.282,0,0.41,1.282,5,4
216,1.15,0.85,0,121,9,22,4,13,-9,7.318,0,0.15,5.318,11,2
217,1.41,0.59,0,100,3,70,49,17,-3,8.444,0,0.41,1.4440000000000008,10,7
218,1.87,0.13,0,25,-14,95,361,24,14,19.158,0,0.87,0.15800000000000125,5,19
219,1.88,0.12,0,400,9,220,121,31,-9,11.146,0,0.88,0.1460000000000008,20,11
220,1.42,0.58,0,121,1,110,100,21,-1,11.41,0,0.42,1.4100000000000001,11,10
221,1.84,0.16,0,49,1,42,36,13,-1,6.186,0,0.84,0.18599999999999994,7,6
222,1.14,0.86,0,361,3,304,256,35,-3,22.008,0,0.14,6.007999999999999,19,16
223,1.21,0.79,0,64,7,8,1,9,-7,4.958,0,0.21,3.958,8,1
224,1.42,0.58,0,1,-3,4,16,5,3,5.404,0,0.42,1.404,1,4
225,1.47,0.53,0,0,-3,0,9,3,3,4.262,0,0.47,1.2619999999999996,0,3
226,1.14,0.86,0,144,0,144,144,24,0,17.998,0,0.14,5.998000000000001,12,12
227,1.89,0.11,0,324,9,162,81,27,-9,9.128,0,0.89,0.1280000000000001,18,9
228,1.08,0.92,0,1,0,1,1,2,0,12.718,0,0.08,11.718,1,1
229,1.72,0.28,0,1,-2,3,9,4,2,3.306,0,0.72,0.30600000000000005,1,3
230,1.7,0.3,0,361,12,133,49,26,-12,7.46,0,0.7,0.45999999999999996,19,7
231,1.68,0.32,0,100,2,80,64,18,-2,8.47,0,0.68,0.47000000000000064,10,8
232,1.35,0.65,0,100,4,60,36,16,-4,7.904,0,0.35,1.904,10,6
233,1.9,0.1,0,196,8,84,36,20,-8,6.128,0,0.9,0.1280000000000001,14,6
234,1.65,0.35,0,4,-8,20,100,12,8,10.58,0,0.65,0.5800000000000001,2,10
235,1.76,0.24,0,100,-1,110,121,21,1,11.296,0,0.76,0.2959999999999994,10,11
236,1.58,0.42,0,324,9,162,81,27,-9,9.706,0,0.58,0.7059999999999995,18,9
237,1.14,0.86,0,121,4,77,49,18,-4,13.214,0,0.14,6.214,11,7
238,1.11,0.89,0,361,18,19,1,20,-18,8.95,0,0.11,7.949999999999999,19,1
239,1.36,0.64,0,36,1,30,25,11,-1,6.69,0,0.36,1.6900000000000004,6,5
240,1.74,0.26,0,225,7,120,64,23,-7,8.352,0,0.74,0.3520000000000003,15,8
241,1.78,0.22,0,64,-4,96,144,20,4,12.324,0,0.78,0.32399999999999984,8,12
242,1.45,0.55,0,169,4,117,81,22,-4,10.17,0,0.45,1.17,13,9
243,1.15,0.85,0,1,-8,9,81,10,8,14.532,0,0.15,5.532,1,9
244,1.11,0.89,0,196,10,56,16,18,-10,12.474,0,0.11,8.474,14,4
245,1.4,0.6,0,324,13,90,25,23,-13,6.452,0,0.4,1.452,18,5
246,1.68,0.32,0,0,-18,0,324,18,18,18.432,0,0.68,0.4319999999999986,0,18
247,1.78,0.22,0,9,-17,60,400,23,17,20.238,0,0.78,0.23799999999999955,3,20
248,1.59,0.41,0,169,12,13,1,14,-12,1.678,0,0.59,0.6779999999999999,13,1
249,1.86,0.14,0,225,0,225,225,30,0,15.19,0,0.86,0.1899999999999995,15,15
250,1.74,0.26,0,225,9,90,36,21,-9,6.342,0,0.74,0.34199999999999964,15,6
251,1.88,0.12,0,324,13,90,25,23,-13,5.134,0,0.88,0.13400000000000034,18,5
252,1.19,0.81,0,9,-11,42,196,17,11,18.092,0,0.19,4.091999999999999,3,14
253,1.31,0.69,0,324,13,90,25,23,-13,7.076,0,0.31,2.0759999999999996,18,5
254,1.22,0.78,0,169,13,0,0,13,-13,3.684,0,0.22,3.684,13,0
255,1.06,0.94,0,225,3,180,144,27,-3,26.758,0,0.06,14.758,15,12
256,1.63,0.37,0,196,3,154,121,25,-3,11.572,0,0.63,0.5719999999999992,14,11
257,1.15,0.85,0,81,-5,126,196,23,5,19.894,0,0.15,5.893999999999998,9,14
258,1.73,0.27,0,81,-11,180,400,29,11,20.358,0,0.73,0.35800000000000054,9,20
259,1.95,0.05,0,289,2,255,225,32,-2,15.052,0,0.95,0.0519999999999996,17,15
260,1.08,0.92,0,196,-6,280,400,34,6,31.536,0,0.08,11.536000000000001,14,20
0,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
1,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
2,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
3,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
4,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
5,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
6,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
7,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
8,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
9,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
10,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
11,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
12,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
13,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
14,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
15,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
16,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
17,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
18,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
19,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
20,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
21,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
22,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
23,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
24,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
25,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
26,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
27,1.99,0.01,0,0,0,0,0,0,0,0.012666666666666666,0,0.99,0.012666666666666666,0,0
28,1.01,0.99,0,576,-1,600,625,49,1,126.21733333333333,0,0.01,101.21733333333333,24,25
29,1.12,0.88,0,0,0,0,0,0,0,7.050666666666666,0,0.1200000000000001,7.050666666666666,0,0
30,1.41,0.59,0,529,7,368,256,39,-7,17.380666666666666,0,0.4142135623537178,1.3806666666666665,23,16
31,1.99,0.01,0,0,0,0,0,0,0,0.014,0,0.99,0.014,0,0
32,1.12,0.88,0,576,-1,600,625,49,1,32.465333333333334,0,0.12,7.465333333333334,24,25
