,G,n,p,post,pre,x,y
114,True,6,0.65,8,8,8,20
115,True,3,0.34,18,18,18,15
116,True,5,0.65,7,7,7,8
117,True,16,0.78,8,8,8,1
118,True,16,0.11,16,16,16,10
119,True,3,0.38,8,8,8,0
120,True,11,0.94,10,10,10,4
121,True,4,0.53,5,5,5,12
122,True,19,0.1,7,7,7,16
123,True,14,0.18,2,2,2,17
124,True,2,0.18,12,12,12,15
125,True,5,0.38,15,15,15,17
126,True,7,0.18,10,10,10,19
127,True,17,0.81,19,19,19,19
128,True,16,0.56,11,11,11,4
129,True,13,0.25,3,3,3,9
130,True,19,0.37,15,15,15,8
131,True,3,0.93,2,2,2,0
132,True,7,0.52,3,3,3,3
133,True,6,0.18,1,1,1,8
134,True,20,0.7,6,6,6,7
135,True,12,0.47,7,7,7,13
136,True,1,0.56,1,1,1,19
137,True,14,0.11,20,20,20,11
138,True,12,0.5,11,11,11,19
139,True,20,0.08,15,15,15,17
140,True,12,0.1,15,15,15,1
141,True,19,0.21,14,14,14,1
142,True,15,0.53,13,13,13,3
143,True,17,0.58,0,0,0,3
144,True,14,0.94,10,10,10,15
145,True,4,0.41,8,8,8,1
146,True,18,0.51,20,20,20,8
147,True,11,0.14,6,6,6,15
148,True,2,0.3,8,8,8,13
149,True,10,0.2,1,1,1,5
150,True,20,0.48,16,16,16,8
151,True,9,0.53,11,11,11,10
152,True,3,0.42,18,18,18,16
153,True,16,0.58,19,19,19,12
154,True,16,0.44,18,18,18,14
155,True,5,0.05,20,20,20,19
156,True,7,0.35,9,9,9,5
157,True,15,0.52,7,7,7,3
158,True,5,0.08,16,16,16,6
159,True,12,0.51,19,19,19,0
160,True,12,0.73,20,20,20,12
161,True,10,0.82,18,18,18,5
162,True,1,0.45,17,17,17,7
163,True,13,0.31,9,9,9,10
164,True,4,0.9,9,9,9,13
165,True,18,0.12,19,19,19,14
166,True,11,0.12,4,4,4,13
167,True,8,0.17,16,16,16,1
168,True,2,0.81,17,17,17,18
169,True,6,0.26,20,20,20,2
170,True,19,0.88,0,0,0,16
171,True,1,0.33,12,12,12,19
172,True,3,0.17,2,2,2,0
173,True,10,0.35,7,7,7,1
174,True,7,0.52,19,19,19,9
175,True,12,0.9,14,14,14,2
176,True,5,0.8,20,20,20,11
177,True,2,0.3,18,18,18,2
178,True,13,0.82,3,3,3,14
179,True,10,0.31,15,15,15,18
180,True,13,0.89,20,20,20,4
181,True,2,0.34,7,7,7,1
182,True,2,0.49,7,7,7,18
183,True,17,0.05,7,7,7,8
184,True,18,0.25,7,7,7,20
185,True,18,0.81,14,14,14,4
186,True,5,0.25,10,10,10,19
187,True,9,0.08,14,14,14,9
188,True,13,0.91,13,13,13,14
189,True,16,0.73,12,12,12,18
190,True,7,0.43,10,10,10,18
191,True,16,0.34,9,9,9,4
192,True,10,0.88,7,7,7,13
193,True,3,0.23,1,1,1,5
194,True,7,0.31,8,8,8,1
195,True,4,0.65,15,15,15,20
196,True,14,0.42,10,10,10,0
197,True,4,0.53,6,6,6,5
198,True,4,0.89,13,13,13,0
199,True,17,0.18,9,9,9,10
200,True,13,0.22,11,11,11,17
201,True,11,0.52,10,10,10,19
202,True,11,0.48,17,17,17,6
203,True,20,0.55,1,1,1,7
204,True,9,0.33,12,12,12,13
205,True,15,0.77,20,20,20,17
206,True,9,0.13,6,6,6,4
207,True,10,0.94,16,16,16,9
208,True,15,0.46,14,14,14,15
209,True,15,0.21,4,4,4,16
210,True,1,0.85,1,1,1,5
211,True,9,0.41,15,15,15,7
212,True,4,0.65,5,5,5,3
213,True,7,0.49,17,17,17,11
214,True,8,0.62,9,9,9,2
215,True,6,0.95,9,9,9,13
216,True,9,0.89,14,14,14,20
217,True,20,0.1,6,6,6,5
218,True,16,0.88,0,0,0,12
219,True,4,0.28,4,4,4,14
220,True,6,0.29,8,8,8,11
221,True,16,0.9,16,16,16,19
222,True,4,0.56,10,10,10,12
223,True,4,0.72,3,3,3,9
224,True,2,0.94,8,8,8,13
225,True,1,0.39,8,8,8,1
226,True,5,0.33,19,19,19,8
227,True,15,0.17,1,1,1,16
228,True,7,0.17,11,11,11,6
229,True,2,0.76,20,20,20,13
230,True,13,0.43,14,14,14,7
231,True,12,0.11,7,7,7,20
232,True,10,0.28,15,15,15,10
233,True,11,0.54,18,18,18,18
234,True,10,0.81,15,15,15,2
235,True,13,0.12,12,12,12,17
236,True,12,0.62,8,8,8,15
237,True,3,0.73,8,8,8,18
238,True,10,0.59,16,16,16,5
239,True,5,0.93,19,19,19,18
240,True,10,0.93,2,2,2,7
241,True,13,0.19,7,7,7,0
242,True,1,0.32,19,19,19,3
243,True,13,0.81,16,16,16,2
244,True,6,0.47,6,6,6,2
245,True,4,0.77,14,14,14,9
246,True,16,0.51,0,0,0,11
247,True,19,0.42,3,3,3,11
248,True,3,0.65,16,16,16,18
249,True,8,0.21,16,16,16,11
250,True,1,0.72,1,1,1,2
251,True,9,0.14,11,11,11,18
252,True,13,0.81,2,2,2,7
253,True,19,0.53,11,11,11,8
254,True,19,0.69,18,18,18,0
255,True,8,0.77,8,8,8,16
256,True,6,0.07,2,2,2,11
257,True,20,0.72,16,16,16,10
258,True,9,0.43,20,20,20,10
259,True,5,0.83,7,7,7,3
260,True,7,0.11,17,17,17,15
261,True,11,0.64,20,20,20,6
262,True,3,0.14,19,19,19,3
263,True,14,0.37,3,3,3,8
264,True,2,0.46,9,9,9,5
265,True,11,0.24,19,19,19,11
266,True,14,0.75,16,16,16,2
267,True,11,0.58,11,11,11,12
268,True,18,0.33,6,6,6,9
269,True,8,0.29,8,8,8,0
270,True,2,0.77,16,16,16,12
271,True,11,0.39,15,15,15,8
272,True,7,0.53,3,3,3,11
273,True,3,0.94,17,17,17,8
274,True,16,0.72,7,7,7,13
275,True,14,0.41,0,0,0,15
276,True,15,0.22,4,4,4,14
277,True,4,0.9,0,0,0,18
278,True,18,0.71,3,3,3,9
279,True,19,0.29,14,14,14,20
280,True,12,0.9,4,4,4,10
281,True,3,0.18,14,14,14,17
282,True,3,0.57,16,16,16,3
283,True,2,0.41,1,1,1,6
284,True,3,0.47,12,12,12,20
285,True,10,0.16,0,0,0,8
286,True,9,0.72,14,14,14,15
287,True,15,0.73,7,7,7,8
288,True,6,0.33,20,20,20,4
289,True,19,0.63,19,19,19,11
290,True,1,0.84,1,1,1,19
291,True,9,0.42,2,2,2,15
292,True,17,0.69,11,11,11,15
293,True,6,0.18,20,20,20,5
294,True,7,0.18,14,14,14,11
295,True,3,0.87,16,16,16,19
296,True,13,0.34,9,9,9,17
297,True,18,0.57,9,9,9,18
298,True,16,0.5,3,3,3,12
299,True,10,0.57,4,4,4,5
300,True,18,0.82,1,1,1,13
301,True,9,0.7,13,13,13,10
302,True,8,0.54,10,10,10,0
303,True,14,0.72,5,5,5,8
304,True,19,0.53,19,19,19,12
305,True,7,0.45,16,16,16,6
306,True,19,0.23,20,20,20,17
307,True,11,0.2,8,8,8,5
308,True,8,0.44,12,12,12,2
309,True,1,0.75,8,8,8,9
310,True,18,0.39,18,18,18,17
311,True,10,0.46,11,11,11,7
312,True,7,0.33,9,9,9,7
313,True,8,0.41,1,1,1,13
314,True,19,0.33,0,0,0,13
315,True,13,0.37,10,10,10,12
316,True,3,0.64,5,5,5,20
317,True,13,0.09,13,13,13,12
318,True,14,0.45,4,4,4,4
319,True,19,0.86,6,6,6,5
320,True,3,0.71,19,19,19,4
321,True,10,0.91,11,11,11,6
322,True,4,0.51,7,7,7,7
323,True,1,0.6,11,11,11,7
324,True,13,0.52,16,16,16,19
325,True,8,0.85,8,8,8,10
326,True,18,0.89,4,4,4,12
327,True,3,0.46,5,5,5,18
328,True,19,0.84,10,10,10,16
329,True,1,0.7,4,4,4,3
330,True,13,0.93,16,16,16,0
331,True,10,0.42,6,6,6,16
332,True,16,0.47,8,8,8,18
333,True,19,0.57,19,19,19,4
334,True,17,0.59,17,17,17,7
335,True,10,0.22,5,5,5,0
336,True,16,0.84,19,19,19,3
337,True,4,0.57,9,9,9,10
338,True,4,0.51,19,19,19,5
339,True,8,0.79,12,12,12,19
340,True,16,0.31,10,10,10,17
341,True,15,0.33,17,17,17,5
342,True,6,0.4,1,1,1,3
343,True,19,0.76,15,15,15,19
344,True,20,0.9,10,10,10,10
345,True,3,0.31,10,10,10,14
346,True,4,0.22,6,6,6,16
347,True,1,0.74,8,8,8,0
348,True,15,0.06,17,17,17,14
349,True,16,0.09,7,7,7,1
350,True,12,0.31,7,7,7,11
351,True,2,0.83,8,8,8,1
352,True,18,0.13,16,16,16,3
353,True,4,0.1,17,17,17,2
354,True,13,0.81,14,14,14,3
355,True,10,0.15,4,4,4,17
356,True,8,0.3,0,0,0,9
357,True,13,0.34,8,8,8,14
358,True,2,0.7,18,18,18,5
359,True,9,0.83,14,14,14,14
360,True,12,0.35,4,4,4,20
361,True,14,0.46,8,8,8,8
362,True,1,0.88,19,19,19,0
363,True,14,0.91,4,4,4,7
364,True,11,0.91,9,9,9,17
365,True,10,0.38,18,18,18,18
366,True,14,0.08,13,13,13,3
367,True,12,0.91,16,16,16,3
368,True,1,0.64,18,18,18,14
369,True,17,0.39,10,10,10,0
370,True,5,0.09,14,14,14,1
371,True,1,0.27,12,12,12,6
372,True,8,0.16,10,10,10,16
373,True,10,0.06,15,15,15,4
374,True,4,0.8,15,15,15,3
375,True,14,0.73,2,2,2,12
376,True,4,0.93,5,5,5,6
377,True,2,0.89,11,11,11,10
378,True,16,0.78,13,13,13,20
379,True,1,0.15,3,3,3,0
380,True,18,0.92,2,2,2,11
381,True,5,0.48,8,8,8,20
382,True,17,0.79,4,4,4,5
383,True,15,0.63,5,5,5,5
384,True,9,0.61,8,8,8,15
385,True,11,0.4,1,1,1,12
386,True,14,0.94,5,5,5,13
387,True,18,0.55,10,10,10,8
388,True,10,0.21,8,8,8,12
389,True,12,0.35,5,5,5,11
390,True,19,0.53,16,16,16,17
391,True,17,0.21,3,3,3,8
392,True,13,0.78,0,0,0,6
393,True,13,0.7,0,0,0,11
394,True,5,0.1,5,5,5,12
395,True,15,0.08,15,15,15,4
396,True,8,0.07,12,12,12,16
397,True,20,0.5,4,4,4,4
398,True,12,0.73,15,15,15,14
399,True,4,0.66,10,10,10,13
400,True,14,0.5,20,20,20,2
401,True,2,0.59,16,16,16,12
402,True,8,0.8,10,10,10,0
403,True,4,0.78,0,0,0,10
404,True,12,0.06,17,17,17,6
405,True,12,0.46,16,16,16,19
406,True,15,0.38,18,18,18,16
407,True,1,0.27,18,18,18,14
408,True,2,0.31,0,0,0,15
409,True,16,0.09,20,20,20,10
410,True,8,0.78,15,15,15,17
411,True,13,0.39,13,13,13,0
412,True,11,0.09,2,2,2,10
413,True,4,0.92,13,13,13,8
414,True,8,0.61,17,17,17,6
415,True,11,0.32,18,18,18,14
416,True,9,0.17,19,19,19,8
417,True,14,0.07,15,15,15,10
418,True,18,0.72,7,7,7,6
419,True,20,0.16,0,0,0,10
420,True,4,0.88,16,16,16,9
421,True,13,0.32,3,3,3,13
422,True,2,0.32,12,12,12,12
423,True,1,0.86,1,1,1,19
424,True,4,0.57,2,2,2,1
425,True,1,0.07,9,9,9,14
426,True,18,0.7,8,8,8,6
427,True,4,0.55,5,5,5,19
428,True,14,0.82,7,7,7,3
429,True,13,0.68,19,19,19,12
430,True,17,0.13,6,6,6,1
431,True,9,0.52,2,2,2,17
432,True,15,0.06,5,5,5,9
433,True,7,0.71,7,7,7,9
434,True,5,0.36,13,13,13,13
435,True,6,0.46,3,3,3,5
436,True,4,0.89,18,18,18,14
437,True,18,0.3,5,5,5,18
438,True,15,0.56,3,3,3,6
439,True,15,0.6,18,18,18,9
440,True,20,0.53,9,9,9,19
441,True,8,0.25,4,4,4,19
442,True,5,0.85,5,5,5,19
443,True,18,0.84,6,6,6,20
444,True,2,0.4,10,10,10,2
445,True,18,0.2,14,14,14,13
446,True,8,0.91,20,20,20,6
447,True,20,0.93,18,18,18,5
448,True,7,0.55,6,6,6,2
449,True,16,0.35,1,1,1,17
450,True,2,0.35,18,18,18,4
451,True,13,0.88,10,10,10,14
452,True,11,0.18,19,19,19,17
453,True,4,0.45,3,3,3,17
454,True,16,0.3,8,8,8,14
455,True,1,0.73,13,13,13,6
456,True,4,0.51,11,11,11,18
457,True,14,0.34,16,16,16,9
458,True,18,0.88,4,4,4,9
459,True,1,0.59,9,9,9,8
460,True,5,0.34,5,5,5,0
461,True,16,0.11,19,19,19,20
462,True,11,0.28,4,4,4,3
463,True,4,0.48,15,15,15,4
464,True,12,0.07,13,13,13,9
465,True,4,0.9,4,4,4,8
466,True,8,0.83,10,10,10,19
467,True,3,0.32,19,19,19,6
468,True,17,0.08,2,2,2,3
469,True,11,0.17,3,3,3,1
470,True,2,0.62,20,20,20,9
471,True,9,0.22,16,16,16,12
472,True,9,0.73,2,2,2,0
