,G,p1,p2,post,pre,x
202,True,0.73,0.41,0,0,0
203,True,0.73,0.41,0,0,0
204,True,0.73,0.41,0,0,0
205,True,0.73,0.41,0,0,0
206,True,0.73,0.41,0,0,0
207,False,0.73,0.41,1,1,1
208,True,0.73,0.41,0,0,0
209,False,0.73,0.41,0,0,-1
210,True,0.73,0.41,0,0,0
211,True,0.73,0.41,0,0,0
212,True,0.73,0.41,0,0,0
213,True,0.73,0.41,0,0,0
214,False,0.73,0.41,1,1,1
215,True,0.73,0.41,0,0,0
216,True,0.73,0.41,0,0,0
217,True,0.73,0.41,0,0,0
218,True,0.73,0.41,0,0,0
219,True,0.73,0.41,0,0,0
220,True,0.73,0.41,0,0,0
221,True,0.73,0.41,0,0,0
222,False,0.73,0.41,1,1,1
223,True,0.73,0.41,0,0,0
224,True,0.73,0.41,0,0,0
225,True,0.73,0.41,0,0,0
226,True,0.73,0.41,0,0,0
227,True,0.73,0.41,0,0,0
228,False,0.73,0.41,1,1,1
229,False,0.73,0.41,1,1,1
230,True,0.73,0.41,0,0,0
231,False,0.73,0.41,1,1,1
232,True,0.73,0.41,0,0,0
233,False,0.73,0.41,1,1,1
234,True,0.73,0.41,0,0,0
235,False,0.73,0.41,0,0,-1
236,True,0.73,0.41,0,0,0
237,True,0.73,0.41,0,0,0
238,True,0.73,0.41,0,0,0
239,False,0.73,0.41,0,0,-1
240,False,0.73,0.41,0,0,-1
241,True,0.73,0.41,0,0,0
242,True,0.73,0.41,0,0,0
243,True,0.73,0.41,0,0,0
244,True,0.73,0.41,0,0,0
245,True,0.73,0.41,0,0,0
246,False,0.73,0.41,1,1,1
247,True,0.73,0.41,0,0,0
248,True,0.73,0.41,0,0,0
249,True,0.73,0.41,0,0,0
250,True,0.73,0.41,0,0,0
251,False,0.73,0.41,1,1,1
252,True,0.73,0.41,0,0,0
253,True,0.73,0.41,0,0,0
254,True,0.73,0.41,0,0,0
255,False,0.73,0.41,0,0,-1
256,True,0.73,0.41,0,0,0
257,False,0.73,0.41,1,1,1
258,False,0.73,0.41,0,0,-1
259,True,0.73,0.41,0,0,0
260,True,0.73,0.41,0,0,0
261,True,0.73,0.41,0,0,0
262,True,0.73,0.41,0,0,0
263,True,0.73,0.41,0,0,0
264,True,0.73,0.41,0,0,0
265,False,0.73,0.41,1,1,1
266,False,0.73,0.41,1,1,1
267,True,0.73,0.41,0,0,0
268,True,0.73,0.41,0,0,0
269,True,0.73,0.41,0,0,0
270,True,0.73,0.41,0,0,0
271,False,0.73,0.41,0,0,-1
272,True,0.73,0.41,0,0,0
273,True,0.73,0.41,0,0,0
274,False,0.73,0.41,0,0,-1
275,True,0.73,0.41,0,0,0
276,True,0.73,0.41,0,0,0
277,True,0.73,0.41,0,0,0
278,True,0.73,0.41,0,0,0
279,True,0.73,0.41,0,0,0
280,True,0.73,0.41,0,0,0
281,True,0.73,0.41,0,0,0
282,True,0.73,0.41,0,0,0
283,False,0.73,0.41,0,0,-1
284,True,0.73,0.41,0,0,0
285,True,0.73,0.41,0,0,0
286,True,0.73,0.41,0,0,0
287,True,0.73,0.41,0,0,0
288,True,0.73,0.41,0,0,0
289,True,0.73,0.41,0,0,0
290,True,0.73,0.41,0,0,0
291,False,0.73,0.41,0,0,-1
292,False,0.73,0.41,0,0,-1
293,False,0.73,0.41,0,0,-1
294,True,0.73,0.41,0,0,0
295,True,0.73,0.41,0,0,0
296,False,0.73,0.41,1,1,1
297,True,0.73,0.41,0,0,0
298,True,0.73,0.41,0,0,0
299,True,0.73,0.41,0,0,0
300,True,0.73,0.41,0,0,0
301,True,0.73,0.41,0,0,0
302,True,0.73,0.41,0,0,0
303,False,0.73,0.41,0,0,-1
304,True,0.73,0.41,0,0,0
305,False,0.73,0.41,1,1,1
306,True,0.73,0.41,0,0,0
307,False,0.73,0.41,1,1,1
308,True,0.73,0.41,0,0,0
309,True,0.73,0.41,0,0,0
310,False,0.73,0.41,1,1,1
311,False,0.73,0.41,0,0,-1
312,False,0.73,0.41,1,1,1
313,True,0.73,0.41,0,0,0
314,False,0.73,0.41,1,1,1
315,True,0.73,0.41,0,0,0
316,True,0.73,0.41,0,0,0
317,True,0.73,0.41,0,0,0
318,True,0.73,0.41,0,0,0
319,True,0.73,0.41,0,0,0
320,True,0.73,0.41,0,0,0
321,False,0.73,0.41,0,0,-1
322,True,0.73,0.41,0,0,0
323,True,0.73,0.41,0,0,0
324,True,0.73,0.41,0,0,0
325,True,0.73,0.41,0,0,0
326,True,0.73,0.41,0,0,0
327,True,0.73,0.41,0,0,0
328,False,0.73,0.41,0,0,-1
329,True,0.73,0.41,0,0,0
330,True,0.73,0.41,0,0,0
331,False,0.73,0.41,1,1,1
332,True,0.73,0.41,0,0,0
333,True,0.73,0.41,0,0,0
334,False,0.73,0.41,0,0,-1
335,True,0.73,0.41,0,0,0
336,True,0.73,0.41,0,0,0
337,True,0.73,0.41,0,0,0
338,False,0.73,0.41,0,0,-1
339,True,0.73,0.41,0,0,0
340,False,0.73,0.41,1,1,1
341,True,0.73,0.41,0,0,0
342,True,0.73,0.41,0,0,0
343,True,0.73,0.41,0,0,0
344,True,0.73,0.41,0,0,0
345,True,0.73,0.41,0,0,0
346,True,0.73,0.41,0,0,0
347,True,0.73,0.41,0,0,0
348,True,0.73,0.41,0,0,0
349,True,0.73,0.41,0,0,0
350,False,0.73,0.41,1,1,1
351,True,0.73,0.41,0,0,0
352,True,0.73,0.41,0,0,0
353,True,0.73,0.41,0,0,0
354,True,0.73,0.41,0,0,0
355,False,0.73,0.41,0,0,-1
356,True,0.73,0.41,0,0,0
357,True,0.73,0.41,0,0,0
358,False,0.73,0.41,1,1,1
359,True,0.73,0.41,0,0,0
360,False,0.73,0.41,1,1,1
361,True,0.73,0.41,0,0,0
362,True,0.73,0.41,0,0,0
363,True,0.73,0.41,0,0,0
364,True,0.73,0.41,0,0,0
365,False,0.73,0.41,1,1,1
366,True,0.73,0.41,0,0,0
367,False,0.73,0.41,1,1,1
368,True,0.73,0.41,0,0,0
369,True,0.73,0.41,0,0,0
370,True,0.73,0.41,0,0,0
371,True,0.73,0.41,0,0,0
372,True,0.73,0.41,0,0,0
373,True,0.73,0.41,0,0,0
374,True,0.73,0.41,0,0,0
375,True,0.73,0.41,0,0,0
376,True,0.73,0.41,0,0,0
377,True,0.73,0.41,0,0,0
378,True,0.73,0.41,0,0,0
379,False,0.73,0.41,0,0,-1
380,True,0.73,0.41,0,0,0
381,False,0.73,0.41,0,0,-1
382,False,0.73,0.41,1,1,1
383,True,0.73,0.41,0,0,0
384,True,0.73,0.41,0,0,0
385,True,0.73,0.41,0,0,0
386,True,0.73,0.41,0,0,0
387,True,0.73,0.41,0,0,0
388,False,0.73,0.41,1,1,1
389,False,0.73,0.41,0,0,-1
390,False,0.73,0.41,0,0,-1
391,True,0.73,0.41,0,0,0
392,True,0.73,0.41,0,0,0
393,True,0.73,0.41,0,0,0
394,True,0.73,0.41,0,0,0
395,True,0.73,0.41,0,0,0
396,False,0.73,0.41,1,1,1
397,False,0.73,0.41,1,1,1
398,True,0.73,0.41,0,0,0
399,False,0.73,0.41,1,1,1
400,False,0.73,0.41,1,1,1
401,True,0.73,0.41,0,0,0
402,False,0.73,0.41,1,1,1
403,True,0.73,0.41,0,0,0
404,True,0.73,0.41,0,0,0
405,True,0.73,0.41,0,0,0
406,True,0.73,0.41,0,0,0
407,False,0.73,0.41,0,0,-1
408,False,0.73,0.41,0,0,-1
409,True,0.73,0.41,0,0,0
410,True,0.73,0.41,0,0,0
411,False,0.73,0.41,1,1,1
412,True,0.73,0.41,0,0,0
413,False,0.73,0.41,1,1,1
414,True,0.73,0.41,0,0,0
415,True,0.73,0.41,0,0,0
416,True,0.73,0.41,0,0,0
417,True,0.73,0.41,0,0,0
418,False,0.73,0.41,1,1,1
419,False,0.73,0.41,1,1,1
420,True,0.73,0.41,0,0,0
421,True,0.73,0.41,0,0,0
422,True,0.73,0.41,0,0,0
423,True,0.73,0.41,0,0,0
424,True,0.73,0.41,0,0,0
425,False,0.73,0.41,0,0,-1
426,True,0.73,0.41,0,0,0
427,True,0.73,0.41,0,0,0
428,False,0.73,0.41,1,1,1
429,True,0.73,0.41,0,0,0
430,True,0.73,0.41,0,0,0
431,False,0.73,0.41,0,0,-1
432,True,0.73,0.41,0,0,0
433,True,0.73,0.41,0,0,0
434,True,0.73,0.41,0,0,0
435,True,0.73,0.41,0,0,0
436,True,0.73,0.41,0,0,0
437,False,0.73,0.41,1,1,1
438,False,0.73,0.41,1,1,1
439,False,0.73,0.41,1,1,1
440,True,0.73,0.41,0,0,0
441,True,0.73,0.41,0,0,0
442,False,0.73,0.41,1,1,1
443,True,0.73,0.41,0,0,0
444,True,0.73,0.41,0,0,0
445,False,0.73,0.41,1,1,1
446,False,0.73,0.41,1,1,1
447,False,0.73,0.41,1,1,1
448,True,0.73,0.41,0,0,0
449,True,0.73,0.41,0,0,0
450,False,0.73,0.41,0,0,-1
451,True,0.73,0.41,0,0,0
452,False,0.73,0.41,0,0,-1
453,True,0.73,0.41,0,0,0
454,True,0.73,0.41,0,0,0
455,True,0.73,0.41,0,0,0
456,True,0.73,0.41,0,0,0
457,True,0.73,0.41,0,0,0
458,True,0.73,0.41,0,0,0
459,True,0.73,0.41,0,0,0
460,True,0.73,0.41,0,0,0
461,False,0.73,0.41,1,1,1
462,True,0.73,0.41,0,0,0
463,True,0.73,0.41,0,0,0
464,False,0.73,0.41,1,1,1
465,True,0.73,0.41,0,0,0
466,True,0.73,0.41,0,0,0
467,True,0.73,0.41,0,0,0
468,True,0.73,0.41,0,0,0
469,True,0.73,0.41,0,0,0
470,False,0.73,0.41,1,1,1
471,True,0.73,0.41,0,0,0
472,True,0.73,0.41,0,0,0
473,True,0.73,0.41,0,0,0
474,True,0.73,0.41,0,0,0
475,False,0.73,0.41,1,1,1
476,True,0.73,0.41,0,0,0
477,False,0.73,0.41,1,1,1
478,True,0.73,0.41,0,0,0
479,True,0.73,0.41,0,0,0
480,True,0.73,0.41,0,0,0
481,True,0.73,0.41,0,0,0
482,True,0.73,0.41,0,0,0
483,True,0.73,0.41,0,0,0
484,True,0.73,0.41,0,0,0
485,True,0.73,0.41,0,0,0
486,True,0.73,0.41,0,0,0
487,True,0.73,0.41,0,0,0
488,True,0.73,0.41,0,0,0
489,True,0.73,0.41,0,0,0
490,True,0.73,0.41,0,0,0
491,True,0.73,0.41,0,0,0
492,False,0.73,0.41,0,0,-1
493,True,0.73,0.41,0,0,0
494,False,0.73,0.41,1,1,1
495,False,0.73,0.41,0,0,-1
496,False,0.73,0.41,0,0,-1
497,True,0.73,0.41,0,0,0
498,False,0.73,0.41,1,1,1
499,True,0.73,0.41,0,0,0
500,False,0.17,0.4,1,1,1
501,False,0.17,0.4,1,1,1
502,True,0.17,0.4,0,0,0
503,False,0.17,0.4,1,1,1
504,False,0.17,0.4,1,1,1
505,False,0.17,0.4,0,0,-1
506,False,0.17,0.4,1,1,1
507,False,0.17,0.4,1,1,1
508,False,0.17,0.4,1,1,1
509,False,0.17,0.4,0,0,-1
510,False,0.17,0.4,1,1,1
511,False,0.17,0.4,1,1,1
512,False,0.17,0.4,1,1,1
513,False,0.17,0.4,1,1,1
514,False,0.17,0.4,0,0,-1
515,False,0.17,0.4,1,1,1
516,True,0.17,0.4,0,0,0
517,True,0.17,0.4,0,0,0
518,True,0.17,0.4,0,0,0
519,False,0.17,0.4,1,1,1
520,True,0.17,0.4,0,0,0
521,False,0.17,0.4,1,1,1
522,False,0.17,0.4,1,1,1
523,False,0.17,0.4,0,0,-1
524,True,0.17,0.4,0,0,0
525,False,0.17,0.4,0,0,-1
526,False,0.17,0.4,1,1,1
527,True,0.17,0.4,0,0,0
528,False,0.17,0.4,1,1,1
529,False,0.17,0.4,0,0,-1
530,False,0.17,0.4,1,1,1
531,False,0.17,0.4,1,1,1
532,False,0.17,0.4,1,1,1
533,False,0.17,0.4,0,0,-1
534,False,0.17,0.4,0,0,-1
535,False,0.17,0.4,1,1,1
536,True,0.17,0.4,0,0,0
537,False,0.17,0.4,1,1,1
538,False,0.17,0.4,1,1,1
539,True,0.17,0.4,0,0,0
540,False,0.17,0.4,1,1,1
541,False,0.17,0.4,0,0,-1
542,False,0.17,0.4,0,0,-1
543,True,0.17,0.4,0,0,0
544,False,0.17,0.4,1,1,1
545,True,0.17,0.4,0,0,0
546,False,0.17,0.4,0,0,-1
547,False,0.17,0.4,0,0,-1
548,False,0.17,0.4,0,0,-1
549,False,0.17,0.4,1,1,1
550,True,0.17,0.4,0,0,0
551,False,0.17,0.4,1,1,1
552,False,0.17,0.4,0,0,-1
553,True,0.17,0.4,0,0,0
554,True,0.17,0.4,0,0,0
555,False,0.17,0.4,0,0,-1
556,True,0.17,0.4,0,0,0
557,False,0.17,0.4,1,1,1
558,False,0.17,0.4,1,1,1
559,False,0.17,0.4,0,0,-1
560,False,0.17,0.4,1,1,1
561,False,0.17,0.4,0,0,-1
562,False,0.17,0.4,1,1,1
563,False,0.17,0.4,0,0,-1
564,False,0.17,0.4,1,1,1
565,False,0.17,0.4,1,1,1
566,False,0.17,0.4,0,0,-1
567,False,0.17,0.4,1,1,1
568,False,0.17,0.4,0,0,-1
569,False,0.17,0.4,1,1,1
570,False,0.17,0.4,0,0,-1
571,True,0.17,0.4,0,0,0
572,False,0.17,0.4,0,0,-1
573,True,0.17,0.4,0,0,0
574,True,0.17,0.4,0,0,0
575,False,0.17,0.4,1,1,1
576,False,0.17,0.4,1,1,1
577,False,0.17,0.4,1,1,1
578,False,0.17,0.4,0,0,-1
579,False,0.17,0.4,1,1,1
580,False,0.17,0.4,1,1,1
581,False,0.17,0.4,1,1,1
582,False,0.17,0.4,0,0,-1
583,False,0.17,0.4,0,0,-1
584,False,0.17,0.4,1,1,1
585,True,0.17,0.4,0,0,0
586,True,0.17,0.4,0,0,0
587,False,0.17,0.4,0,0,-1
588,False,0.17,0.4,0,0,-1
589,True,0.17,0.4,0,0,0
590,False,0.17,0.4,0,0,-1
591,False,0.17,0.4,1,1,1
592,False,0.17,0.4,1,1,1
593,False,0.17,0.4,0,0,-1
594,False,0.17,0.4,1,1,1
595,False,0.17,0.4,1,1,1
596,True,0.17,0.4,0,0,0
597,False,0.17,0.4,1,1,1
598,False,0.17,0.4,1,1,1
599,False,0.17,0.4,1,1,1
600,False,0.17,0.4,1,1,1
601,False,0.17,0.4,0,0,-1
602,False,0.17,0.4,1,1,1
603,False,0.17,0.4,0,0,-1
604,False,0.17,0.4,1,1,1
605,False,0.17,0.4,1,1,1
606,False,0.17,0.4,0,0,-1
607,False,0.17,0.4,1,1,1
608,False,0.17,0.4,1,1,1
609,False,0.17,0.4,1,1,1
610,False,0.17,0.4,1,1,1
611,False,0.17,0.4,1,1,1
612,False,0.17,0.4,0,0,-1
613,False,0.17,0.4,0,0,-1
614,False,0.17,0.4,1,1,1
615,True,0.17,0.4,0,0,0
616,False,0.17,0.4,1,1,1
617,True,0.17,0.4,0,0,0
618,False,0.17,0.4,0,0,-1
619,False,0.17,0.4,1,1,1
620,False,0.17,0.4,1,1,1
621,False,0.17,0.4,0,0,-1
622,False,0.17,0.4,0,0,-1
623,False,0.17,0.4,0,0,-1
624,False,0.17,0.4,1,1,1
625,False,0.17,0.4,1,1,1
626,False,0.17,0.4,1,1,1
627,False,0.17,0.4,0,0,-1
628,True,0.17,0.4,0,0,0
629,False,0.17,0.4,1,1,1
630,True,0.17,0.4,0,0,0
631,False,0.17,0.4,0,0,-1
632,False,0.17,0.4,1,1,1
633,True,0.17,0.4,0,0,0
634,False,0.17,0.4,0,0,-1
635,False,0.17,0.4,1,1,1
636,False,0.17,0.4,1,1,1
637,False,0.17,0.4,0,0,-1
638,False,0.17,0.4,1,1,1
639,False,0.17,0.4,0,0,-1
640,False,0.17,0.4,0,0,-1
641,False,0.17,0.4,1,1,1
642,False,0.17,0.4,1,1,1
643,False,0.17,0.4,0,0,-1
644,False,0.17,0.4,0,0,-1
645,False,0.17,0.4,1,1,1
646,False,0.17,0.4,0,0,-1
647,False,0.17,0.4,1,1,1
648,False,0.17,0.4,0,0,-1
649,False,0.17,0.4,1,1,1
650,True,0.17,0.4,0,0,0
651,False,0.17,0.4,0,0,-1
652,False,0.17,0.4,0,0,-1
653,True,0.17,0.4,0,0,0
654,False,0.17,0.4,1,1,1
655,False,0.17,0.4,1,1,1
656,False,0.17,0.4,0,0,-1
657,False,0.17,0.4,1,1,1
658,False,0.17,0.4,0,0,-1
659,True,0.17,0.4,0,0,0
660,False,0.17,0.4,1,1,1
661,False,0.17,0.4,0,0,-1
662,False,0.17,0.4,0,0,-1
663,False,0.17,0.4,0,0,-1
664,False,0.17,0.4,1,1,1
665,False,0.17,0.4,1,1,1
666,False,0.17,0.4,1,1,1
667,False,0.17,0.4,0,0,-1
668,False,0.17,0.4,1,1,1
669,False,0.17,0.4,0,0,-1
670,False,0.17,0.4,1,1,1
671,False,0.17,0.4,1,1,1
672,False,0.17,0.4,1,1,1
673,False,0.17,0.4,0,0,-1
674,False,0.17,0.4,0,0,-1
675,False,0.17,0.4,0,0,-1
676,False,0.17,0.4,1,1,1
677,False,0.17,0.4,1,1,1
678,False,0.17,0.4,1,1,1
679,False,0.17,0.4,1,1,1
680,False,0.17,0.4,0,0,-1
681,False,0.17,0.4,1,1,1
682,False,0.17,0.4,0,0,-1
683,False,0.17,0.4,1,1,1
684,False,0.17,0.4,1,1,1
685,False,0.17,0.4,0,0,-1
686,False,0.17,0.4,1,1,1
687,True,0.17,0.4,0,0,0
688,False,0.17,0.4,1,1,1
689,False,0.17,0.4,1,1,1
690,False,0.17,0.4,1,1,1
691,False,0.17,0.4,1,1,1
692,False,0.17,0.4,0,0,-1
693,False,0.17,0.4,1,1,1
694,False,0.17,0.4,0,0,-1
695,True,0.17,0.4,0,0,0
696,False,0.17,0.4,1,1,1
697,False,0.17,0.4,1,1,1
698,False,0.17,0.4,1,1,1
699,False,0.17,0.4,0,0,-1
700,False,0.17,0.4,0,0,-1
701,False,0.17,0.4,1,1,1
702,True,0.17,0.4,0,0,0
703,True,0.17,0.4,0,0,0
704,False,0.17,0.4,1,1,1
705,False,0.17,0.4,0,0,-1
706,False,0.17,0.4,1,1,1
707,False,0.17,0.4,1,1,1
708,False,0.17,0.4,1,1,1
709,False,0.17,0.4,0,0,-1
710,False,0.17,0.4,1,1,1
711,False,0.17,0.4,0,0,-1
712,False,0.17,0.4,0,0,-1
713,False,0.17,0.4,0,0,-1
714,True,0.17,0.4,0,0,0
715,False,0.17,0.4,1,1,1
716,False,0.17,0.4,1,1,1
717,False,0.17,0.4,1,1,1
718,False,0.17,0.4,1,1,1
719,False,0.17,0.4,0,0,-1
720,False,0.17,0.4,0,0,-1
721,False,0.17,0.4,0,0,-1
722,True,0.17,0.4,0,0,0
723,False,0.17,0.4,0,0,-1
724,False,0.17,0.4,0,0,-1
725,False,0.17,0.4,1,1,1
726,True,0.17,0.4,0,0,0
727,False,0.17,0.4,0,0,-1
728,False,0.17,0.4,1,1,1
729,False,0.17,0.4,0,0,-1
730,True,0.17,0.4,0,0,0
731,False,0.17,0.4,1,1,1
732,False,0.17,0.4,0,0,-1
733,False,0.17,0.4,1,1,1
734,False,0.17,0.4,1,1,1
735,True,0.17,0.4,0,0,0
736,False,0.17,0.4,1,1,1
737,False,0.17,0.4,1,1,1
738,False,0.17,0.4,0,0,-1
739,False,0.17,0.4,1,1,1
740,False,0.17,0.4,0,0,-1
741,True,0.17,0.4,0,0,0
742,True,0.17,0.4,0,0,0
743,False,0.17,0.4,1,1,1
744,False,0.17,0.4,1,1,1
745,True,0.17,0.4,0,0,0
746,False,0.17,0.4,1,1,1
747,False,0.17,0.4,1,1,1
748,False,0.17,0.4,0,0,-1
749,False,0.17,0.4,0,0,-1
750,False,0.17,0.4,1,1,1
751,False,0.17,0.4,1,1,1
752,False,0.17,0.4,0,0,-1
753,False,0.17,0.4,1,1,1
754,False,0.17,0.4,1,1,1
755,False,0.17,0.4,1,1,1
756,False,0.17,0.4,0,0,-1
757,False,0.17,0.4,0,0,-1
758,False,0.17,0.4,0,0,-1
759,True,0.17,0.4,0,0,0
760,False,0.17,0.4,1,1,1
761,False,0.17,0.4,1,1,1
762,False,0.17,0.4,1,1,1
763,True,0.17,0.4,0,0,0
764,False,0.17,0.4,1,1,1
765,False,0.17,0.4,1,1,1
766,False,0.17,0.4,1,1,1
