,G,flip,p1,post,pre,z
54,True,0,0.55,9,9.45,9
55,True,0,0.66,4,4.34,4
56,True,0,0.38,2,2.62,2
57,True,0,0.58,18,18.42,18
58,True,0,0.07,12,12.93,12
59,True,0,0.15,5,5.85,5
60,True,0,0.1,2,2.9,2
61,True,0,0.48,7,7.52,7
62,True,0,0.25,4,4.75,4
63,True,0,0.31,6,6.6899999999999995,6
64,True,0,0.32,3,3.6799999999999997,3
65,True,0,0.14,14,14.86,14
66,True,0,0.92,2,2.08,2
67,True,0,0.93,4,4.07,4
68,True,0,0.77,1,1.23,1
69,True,0,0.05,19,19.95,19
70,True,0,0.21,5,5.79,5
71,True,0,0.93,11,11.07,11
72,True,0,0.84,11,11.16,11
73,True,0,0.89,8,8.11,8
74,True,0,0.36,8,8.64,8
75,True,0,0.09,12,12.91,12
76,True,0,0.2,1,1.8,1
77,True,0,0.58,0,0.42000000000000004,0
78,True,0,0.21,15,15.79,15
79,True,0,0.86,2,2.14,2
80,True,0,0.35,13,13.65,13
81,True,0,0.1,11,11.9,11
82,True,0,0.07,9,9.93,9
83,True,0,0.06,3,3.94,3
84,True,0,0.44,17,17.56,17
85,True,0,0.72,0,0.28,0
86,True,0,0.84,3,3.16,3
87,True,0,0.38,19,19.62,19
88,True,0,0.7,2,2.3,2
89,True,0,0.57,8,8.43,8
90,True,0,0.22,16,16.78,16
91,True,0,0.52,4,4.48,4
92,True,0,0.83,3,3.17,3
93,True,0,0.46,3,3.54,3
94,True,0,0.06,10,10.94,10
95,True,0,0.36,5,5.64,5
96,True,0,0.9,13,13.1,13
97,True,0,0.74,15,15.26,15
98,True,0,0.14,12,12.86,12
99,True,0,0.43,19,19.57,19
100,True,0,0.73,5,5.27,5
101,True,0,0.85,18,18.15,18
102,True,0,0.9,13,13.1,13
103,True,0,0.27,5,5.73,5
104,True,0,0.16,1,1.8399999999999999,1
105,True,0,0.35,9,9.65,9
106,True,0,0.26,8,8.74,8
107,True,0,0.26,16,16.74,16
108,True,0,0.24,17,17.76,17
109,True,0,0.74,20,20.26,20
110,True,0,0.81,7,7.1899999999999995,7
111,True,0,0.83,17,17.17,17
112,True,0,0.73,2,2.27,2
113,True,0,0.94,2,2.06,2
114,True,0,0.84,9,9.16,9
115,True,0,0.77,2,2.23,2
116,True,0,0.05,20,20.95,20
117,True,0,0.33,5,5.67,5
118,True,0,0.14,12,12.86,12
119,True,0,0.53,2,2.4699999999999998,2
120,True,0,0.86,0,0.14,0
121,True,0,0.49,17,17.51,17
122,True,0,0.06,8,8.94,8
123,True,0,0.51,8,8.49,8
124,True,0,0.69,8,8.31,8
125,True,0,0.36,10,10.64,10
126,True,0,0.53,11,11.47,11
127,True,0,0.63,4,4.37,4
128,True,0,0.48,16,16.52,16
129,True,0,0.29,10,10.71,10
130,True,0,0.56,5,5.4399999999999995,5
131,True,0,0.72,19,19.28,19
132,True,0,0.09,18,18.91,18
133,True,0,0.37,11,11.63,11
134,True,0,0.82,15,15.18,15
135,True,0,0.55,1,1.45,1
136,True,0,0.48,14,14.52,14
137,True,0,0.39,8,8.61,8
138,True,0,0.28,4,4.72,4
139,True,0,0.32,15,15.68,15
140,True,0,0.05,7,7.95,7
141,True,0,0.36,3,3.64,3
142,True,0,0.23,5,5.77,5
143,True,0,0.52,7,7.48,7
144,True,0,0.09,16,16.91,16
145,True,0,0.11,9,9.89,9
146,True,0,0.55,6,6.45,6
147,True,0,0.32,1,1.68,1
148,True,0,0.71,1,1.29,1
149,True,0,0.77,3,3.23,3
150,True,0,0.84,1,1.1600000000000001,1
151,True,0,0.37,16,16.63,16
152,True,0,0.93,15,15.07,15
153,True,0,0.28,14,14.72,14
154,True,0,0.87,19,19.13,19
155,True,0,0.41,2,2.59,2
156,True,0,0.07,15,15.93,15
157,True,0,0.64,7,7.36,7
158,True,0,0.13,2,2.87,2
159,True,0,0.35,13,13.65,13
160,True,0,0.78,19,19.22,19
161,True,0,0.12,2,2.88,2
162,True,0,0.92,2,2.08,2
163,True,0,0.68,19,19.32,19
164,True,0,0.66,14,14.34,14
165,True,0,0.72,7,7.28,7
166,True,0,0.23,6,6.77,6
167,True,0,0.75,3,3.25,3
168,True,0,0.68,10,10.32,10
169,True,0,0.49,8,8.51,8
170,True,0,0.67,3,3.33,3
171,True,0,0.77,11,11.23,11
172,True,0,0.72,11,11.28,11
173,True,0,0.68,10,10.32,10
174,True,0,0.82,14,14.18,14
175,True,0,0.94,6,6.0600000000000005,6
176,True,0,0.62,7,7.38,7
177,True,0,0.93,18,18.07,18
178,True,0,0.36,12,12.64,12
179,True,0,0.62,5,5.38,5
180,True,0,0.36,18,18.64,18
181,True,0,0.31,1,1.69,1
182,True,0,0.74,4,4.26,4
183,True,0,0.24,14,14.76,14
184,True,0,0.56,2,2.44,2
185,True,0,0.12,0,0.88,0
186,True,0,0.91,16,16.09,16
187,True,0,0.16,8,8.84,8
188,True,0,0.47,18,18.53,18
189,True,0,0.05,0,0.95,0
190,True,0,0.82,8,8.18,8
191,True,0,0.11,16,16.89,16
192,True,0,0.37,5,5.63,5
193,True,0,0.63,15,15.37,15
194,True,0,0.06,1,1.94,1
195,True,0,0.26,16,16.74,16
196,True,0,0.37,16,16.63,16
197,True,0,0.41,1,1.59,1
198,True,0,0.41,1,1.59,1
199,True,0,0.62,6,6.38,6
200,True,0,0.49,9,9.51,9
201,True,0,0.43,18,18.57,18
202,True,0,0.45,1,1.55,1
203,True,0,0.3,16,16.7,16
204,True,0,0.21,9,9.79,9
205,True,0,0.6,7,7.4,7
206,True,0,0.79,11,11.21,11
207,True,0,0.51,15,15.49,15
208,True,0,0.51,18,18.49,18
209,True,0,0.15,8,8.85,8
210,True,0,0.2,15,15.8,15
211,True,0,0.49,18,18.51,18
212,True,0,0.83,9,9.17,9
213,True,0,0.15,14,14.85,14
214,True,0,0.08,4,4.92,4
215,True,0,0.41,9,9.59,9
216,True,0,0.39,8,8.61,8
217,True,0,0.29,5,5.71,5
218,True,0,0.1,9,9.9,9
219,True,0,0.21,1,1.79,1
220,True,0,0.66,20,20.34,20
221,True,0,0.07,11,11.93,11
222,True,0,0.8,19,19.2,19
223,True,0,0.43,10,10.57,10
224,True,0,0.44,16,16.56,16
225,True,0,0.06,19,19.94,19
226,True,0,0.41,13,13.59,13
227,True,0,0.9,18,18.1,18
228,True,0,0.61,16,16.39,16
229,True,0,0.56,16,16.44,16
230,True,0,0.58,2,2.42,2
231,True,0,0.48,0,0.52,0
232,True,0,0.6,13,13.4,13
233,True,0,0.79,13,13.21,13
234,True,0,0.8,6,6.2,6
235,True,0,0.61,7,7.39,7
236,True,0,0.88,16,16.12,16
237,True,0,0.1,1,1.9,1
238,True,0,0.86,9,9.14,9
239,True,0,0.8,19,19.2,19
