,G,b,c,p,post,pre,rounds
174,True,15,20,0.3,6,7,6
175,True,19,2,0.35,0,1,0
176,True,1,2,0.82,13,14,13
177,True,4,3,0.22,3,4,3
178,True,11,12,0.46,19,20,19
179,True,17,16,0.58,15,16,15
180,True,12,6,0.32,20,21,20
181,True,1,6,0.37,17,18,17
182,True,4,10,0.18,17,18,17
183,True,8,18,0.19,11,12,11
184,True,2,13,0.66,18,19,18
185,True,17,18,0.38,20,21,20
186,True,17,20,0.85,10,11,10
187,True,13,11,0.15,6,7,6
188,True,14,15,0.89,20,21,20
189,True,11,19,0.06,7,8,7
190,True,3,18,0.85,2,3,2
191,True,4,1,0.12,19,20,19
192,True,11,13,0.66,18,19,18
193,True,18,20,0.41,12,13,12
194,True,2,20,0.26,5,6,5
195,True,1,20,0.8,19,20,19
196,True,16,12,0.09,5,6,5
197,True,13,6,0.61,3,4,3
198,True,10,3,0.22,5,6,5
199,True,10,3,0.69,11,12,11
200,True,19,7,0.91,16,17,16
201,True,13,10,0.67,3,4,3
202,True,14,14,0.79,2,3,2
203,True,2,18,0.89,10,11,10
204,True,19,15,0.16,2,3,2
205,True,17,1,0.11,3,4,3
206,True,4,13,0.64,0,1,0
207,True,11,7,0.66,14,15,14
208,True,7,15,0.65,3,4,3
209,True,11,17,0.76,6,7,6
210,True,16,10,0.84,13,14,13
211,True,6,15,0.73,1,2,1
212,True,11,16,0.73,4,5,4
213,True,10,4,0.13,11,12,11
214,True,6,10,0.43,18,19,18
215,True,11,8,0.85,16,17,16
216,True,3,3,0.47,14,15,14
217,True,18,5,0.52,6,7,6
218,True,17,6,0.26,11,12,11
219,True,5,12,0.72,1,2,1
220,True,12,12,0.62,8,9,8
221,True,18,7,0.12,18,19,18
222,True,11,10,0.36,0,1,0
223,True,11,11,0.95,0,1,0
224,True,2,2,0.6,12,13,12
225,True,4,9,0.79,20,21,20
226,True,16,20,0.51,13,14,13
227,True,8,17,0.11,7,8,7
228,True,16,1,0.71,12,13,12
229,True,18,3,0.93,7,8,7
230,True,3,0,0.87,12,13,12
231,True,16,9,0.47,1,2,1
232,True,3,10,0.48,19,20,19
233,True,15,4,0.82,2,3,2
234,True,16,13,0.7,12,13,12
235,True,5,5,0.33,2,3,2
236,True,13,6,0.56,5,6,5
237,True,3,8,0.6,18,19,18
238,True,17,2,0.52,8,9,8
239,True,18,3,0.2,18,19,18
240,True,9,18,0.08,17,18,17
241,True,14,9,0.22,20,21,20
242,True,17,2,0.88,5,6,5
243,True,18,0,0.6,3,4,3
244,True,18,1,0.94,4,5,4
245,True,7,7,0.08,18,19,18
246,True,17,5,0.46,17,18,17
247,True,20,8,0.8,8,9,8
248,True,14,5,0.28,4,5,4
249,True,12,15,0.24,13,14,13
250,True,3,17,0.09,6,7,6
251,True,17,15,0.08,12,13,12
252,True,3,20,0.64,4,5,4
253,True,14,8,0.41,12,13,12
254,True,6,2,0.53,19,20,19
255,True,3,3,0.49,0,1,0
256,True,8,4,0.41,18,19,18
257,True,20,13,0.8,5,6,5
258,True,11,11,0.6,20,21,20
259,True,9,17,0.4,19,20,19
260,True,7,5,0.27,19,20,19
261,True,6,11,0.14,13,14,13
262,True,5,7,0.37,19,20,19
263,True,12,2,0.06,9,10,9
264,True,5,8,0.17,15,16,15
265,True,3,4,0.2,1,2,1
266,True,3,17,0.59,3,4,3
267,True,7,15,0.33,15,16,15
268,True,14,17,0.87,16,17,16
269,True,11,10,0.95,2,3,2
270,True,2,8,0.56,1,2,1
271,True,4,15,0.31,14,15,14
272,True,11,18,0.37,20,21,20
273,True,4,3,0.11,8,9,8
274,True,14,1,0.11,1,2,1
275,True,6,12,0.69,10,11,10
276,True,8,11,0.27,2,3,2
277,True,7,2,0.67,6,7,6
278,True,10,4,0.77,3,4,3
279,True,14,6,0.85,14,15,14
280,True,8,14,0.36,16,17,16
281,True,3,18,0.64,15,16,15
282,True,6,12,0.77,4,5,4
283,True,18,20,0.83,6,7,6
284,True,11,18,0.9,1,2,1
285,True,1,13,0.54,8,9,8
286,True,12,4,0.55,19,20,19
287,True,11,19,0.28,3,4,3
288,True,4,6,0.29,12,13,12
289,True,9,14,0.14,18,19,18
290,True,7,15,0.51,17,18,17
291,True,20,4,0.18,10,11,10
292,True,10,3,0.6,9,10,9
293,True,2,19,0.93,2,3,2
294,True,2,8,0.4,12,13,12
295,True,11,7,0.29,5,6,5
296,True,15,1,0.72,5,6,5
297,True,2,0,0.89,3,4,3
298,True,3,6,0.28,10,11,10
299,True,14,1,0.1,14,15,14
300,True,18,0,0.25,12,13,12
301,True,4,7,0.79,1,2,1
302,True,18,6,0.79,9,10,9
303,True,15,3,0.2,11,12,11
304,True,5,3,0.6,11,12,11
305,True,16,14,0.83,10,11,10
306,True,1,2,0.65,11,12,11
307,True,19,18,0.33,18,19,18
308,True,8,18,0.66,6,7,6
309,True,1,16,0.44,0,1,0
310,True,12,7,0.74,8,9,8
311,True,13,14,0.27,9,10,9
312,True,11,16,0.3,2,3,2
313,True,19,3,0.71,15,16,15
314,True,5,14,0.81,15,16,15
315,True,12,16,0.39,10,11,10
316,True,8,10,0.79,6,7,6
317,True,3,0,0.9,2,3,2
318,True,5,13,0.82,20,21,20
319,True,12,14,0.57,2,3,2
320,True,19,5,0.38,1,2,1
321,True,20,3,0.42,10,11,10
322,True,1,15,0.19,3,4,3
323,True,15,5,0.68,13,14,13
324,True,4,6,0.74,8,9,8
325,True,18,2,0.32,5,6,5
326,True,11,16,0.86,1,2,1
327,True,13,17,0.13,15,16,15
328,True,20,15,0.89,7,8,7
329,True,10,10,0.2,4,5,4
330,True,2,7,0.8,5,6,5
331,True,4,13,0.67,11,12,11
332,True,9,18,0.95,14,15,14
333,True,9,4,0.89,15,16,15
334,True,3,8,0.51,4,5,4
335,True,4,13,0.76,1,2,1
336,True,4,8,0.11,3,4,3
337,True,18,12,0.08,3,4,3
338,True,7,6,0.56,6,7,6
339,True,7,6,0.13,19,20,19
340,True,14,16,0.73,10,11,10
341,True,20,6,0.27,11,12,11
342,True,5,9,0.39,7,8,7
343,True,18,14,0.74,12,13,12
344,True,1,10,0.72,19,20,19
345,True,15,11,0.7,20,21,20
346,True,8,2,0.43,8,9,8
347,True,2,19,0.5,1,2,1
348,True,15,20,0.88,7,8,7
349,True,12,20,0.41,19,20,19
350,True,4,15,0.47,5,6,5
351,True,4,0,0.17,6,7,6
352,True,8,0,0.69,6,7,6
353,True,12,16,0.23,14,15,14
354,True,16,13,0.49,1,2,1
355,True,7,5,0.4,13,14,13
356,True,15,8,0.14,3,4,3
357,True,5,13,0.48,12,13,12
358,True,1,13,0.44,20,21,20
359,True,10,1,0.85,10,11,10
360,True,12,4,0.66,20,21,20
361,True,14,12,0.42,17,18,17
362,True,1,8,0.74,2,3,2
363,True,20,6,0.05,1,2,1
364,True,13,2,0.34,16,17,16
365,True,3,4,0.68,3,4,3
366,True,4,12,0.66,1,2,1
367,True,13,14,0.25,20,21,20
368,True,10,8,0.49,3,4,3
369,True,14,5,0.17,14,15,14
370,True,17,5,0.81,11,12,11
371,True,16,8,0.51,14,15,14
372,True,19,14,0.72,10,11,10
373,True,19,15,0.27,3,4,3
374,True,2,1,0.9,20,21,20
375,True,4,7,0.71,10,11,10
376,True,2,15,0.83,5,6,5
377,True,1,5,0.16,17,18,17
378,True,18,14,0.18,1,2,1
379,True,10,5,0.54,5,6,5
380,True,2,3,0.61,10,11,10
381,True,20,10,0.38,7,8,7
382,True,6,3,0.18,11,12,11
383,True,9,17,0.17,8,9,8
384,True,8,12,0.14,11,12,11
385,True,2,0,0.12,5,6,5
386,True,12,18,0.48,13,14,13
387,True,19,14,0.5,19,20,19
388,True,7,19,0.17,2,3,2
389,True,1,8,0.41,0,1,0
390,True,18,19,0.87,14,15,14
391,True,7,2,0.92,9,10,9
392,True,3,16,0.52,15,16,15
393,True,9,16,0.52,9,10,9
394,True,6,2,0.36,6,7,6
395,True,13,12,0.75,15,16,15
396,True,9,17,0.84,11,12,11
397,True,17,4,0.46,6,7,6
398,True,8,10,0.92,14,15,14
399,True,7,3,0.72,7,8,7
400,True,1,9,0.73,8,9,8
401,True,14,18,0.83,10,11,10
402,True,13,19,0.07,11,12,11
403,True,19,10,0.86,3,4,3
404,True,17,19,0.16,6,7,6
405,True,20,16,0.63,6,7,6
406,True,9,10,0.41,17,18,17
407,True,3,1,0.26,11,12,11
408,True,18,6,0.43,1,2,1
409,True,15,16,0.47,19,20,19
410,True,14,4,0.25,17,18,17
411,True,8,3,0.8,13,14,13
412,True,10,7,0.78,2,3,2
413,True,10,3,0.17,3,4,3
414,True,4,20,0.72,9,10,9
415,True,6,13,0.49,14,15,14
416,True,10,5,0.14,15,16,15
417,True,17,10,0.69,7,8,7
418,True,16,18,0.19,4,5,4
419,True,3,6,0.16,11,12,11
420,True,14,15,0.76,6,7,6
421,True,3,3,0.07,10,11,10
422,True,2,13,0.65,18,19,18
423,True,3,16,0.31,13,14,13
424,True,11,12,0.36,11,12,11
425,True,6,18,0.14,15,16,15
426,True,16,19,0.66,10,11,10
427,True,15,19,0.94,4,5,4
428,True,15,4,0.54,3,4,3
429,True,1,9,0.78,18,19,18
430,True,8,17,0.07,10,11,10
431,True,5,5,0.31,3,4,3
432,True,17,19,0.4,20,21,20
433,True,19,2,0.44,12,13,12
434,True,10,4,0.29,2,3,2
435,True,19,14,0.24,11,12,11
436,True,10,14,0.92,2,3,2
437,True,11,1,0.49,13,14,13
438,True,18,14,0.9,14,15,14
439,True,3,6,0.15,4,5,4
440,True,12,9,0.4,12,13,12
441,True,1,17,0.68,10,11,10
442,True,15,14,0.18,15,16,15
443,True,13,14,0.76,10,11,10
444,True,15,9,0.72,4,5,4
445,True,14,3,0.65,2,3,2
446,True,8,17,0.66,9,10,9
447,True,3,2,0.82,8,9,8
448,True,16,12,0.14,16,17,16
449,True,12,11,0.29,6,7,6
450,True,12,0,0.92,3,4,3
451,True,5,12,0.51,3,4,3
452,True,12,4,0.84,10,11,10
453,True,15,10,0.66,13,14,13
454,True,14,5,0.64,9,10,9
455,True,8,5,0.55,3,4,3
456,True,8,3,0.19,5,6,5
457,True,19,3,0.73,3,4,3
458,True,7,7,0.49,1,2,1
459,True,15,4,0.1,17,18,17
460,True,15,9,0.24,14,15,14
461,True,18,15,0.49,19,20,19
462,True,14,9,0.88,10,11,10
463,True,19,18,0.94,11,12,11
464,True,1,3,0.46,16,17,16
465,True,6,8,0.86,2,3,2
466,True,4,6,0.08,20,21,20
467,True,20,14,0.15,2,3,2
468,True,11,13,0.12,15,16,15
469,True,3,7,0.47,8,9,8
470,True,13,20,0.93,19,20,19
471,True,10,10,0.62,10,11,10
472,True,19,11,0.16,2,3,2
473,True,13,20,0.83,17,18,17
474,True,14,5,0.86,11,12,11
475,True,11,20,0.61,12,13,12
476,True,5,1,0.15,13,14,13
