,G,n,p,post,pre,x
128,True,6,0.6,20,30.799999999999997,20
129,True,17,0.66,4,99.37,4
130,True,13,0.72,1,61.839999999999996,1
131,True,13,0.22,4,22.59,4
132,True,8,0.15,14,18.8,14
133,True,5,0.78,15,24.75,15
134,True,2,0.14,10,10.28,10
135,True,3,0.36,10,11.620000000000001,10
136,True,12,0.21,1,16.12,1
137,True,16,0.34,6,49.52,6
138,True,16,0.83,15,121.24,15
139,True,20,0.21,15,57.0,15
140,True,8,0.87,10,37.84,10
141,True,11,0.56,14,47.88,14
142,True,7,0.58,5,19.21,5
143,True,3,0.32,7,8.44,7
144,True,16,0.52,6,72.56,6
145,True,12,0.8,18,75.60000000000001,18
146,True,9,0.27,11,21.935000000000002,11
147,True,2,0.61,11,12.22,11
148,True,8,0.71,18,40.72,18
149,True,10,0.92,18,64.0,18
150,True,19,0.79,11,153.59500000000003,11
151,True,1,0.25,20,20.125,20
152,True,10,0.53,18,44.5,18
153,True,7,0.57,17,30.965,17
154,True,5,0.41,18,23.125,18
155,True,15,0.19,18,39.375,18
156,True,10,0.78,12,51.0,12
157,True,4,0.5,13,17.0,13
158,True,16,0.55,18,88.4,18
159,True,5,0.06,4,4.75,4
160,True,9,0.46,1,19.630000000000003,1
161,True,8,0.93,17,46.760000000000005,17
162,True,18,0.59,1,96.58,1
163,True,16,0.79,14,115.12,14
164,True,20,0.29,8,66.0,8
165,True,12,0.16,17,28.52,17
166,True,5,0.35,3,7.375,3
167,True,16,0.19,17,41.32,17
168,True,6,0.37,1,7.659999999999999,1
169,True,14,0.88,10,96.24000000000001,10
170,True,9,0.67,4,31.135,4
171,True,10,0.4,0,20.0,0
172,True,12,0.93,4,70.96000000000001,4
173,True,13,0.26,0,21.97,0
174,True,11,0.7,1,43.349999999999994,1
175,True,9,0.17,9,15.885,9
176,True,12,0.39,7,35.08,7
177,True,6,0.91,14,30.38,14
178,True,1,0.34,20,20.17,20
179,True,6,0.74,15,28.32,15
180,True,12,0.08,4,9.76,4
181,True,16,0.56,12,83.68,12
182,True,16,0.92,0,117.76,0
183,True,11,0.84,11,61.82,11
184,True,14,0.47,7,53.06,7
185,True,17,0.06,6,14.67,6
186,True,4,0.09,12,12.72,12
187,True,12,0.72,20,71.84,20
188,True,18,0.24,12,50.88,12
189,True,3,0.6,17,19.7,17
190,True,18,0.34,0,55.08,0
191,True,19,0.78,16,156.79,16
192,True,18,0.61,17,115.82000000000001,17
193,True,9,0.47,0,19.034999999999997,0
194,True,10,0.59,8,37.5,8
195,True,13,0.19,4,20.055,4
196,True,11,0.65,1,40.325,1
197,True,7,0.75,15,33.375,15
198,True,3,0.77,5,8.465,5
199,True,12,0.82,5,64.03999999999999,5
200,True,9,0.43,13,30.415,13
201,True,13,0.56,19,66.32000000000001,19
202,True,6,0.75,19,32.5,19
203,True,6,0.78,5,19.04,5
204,True,5,0.17,0,2.125,0
205,True,11,0.38,8,30.99,8
206,True,8,0.75,11,35.0,11
207,True,1,0.25,11,11.125,11
208,True,15,0.54,8,68.75000000000001,8
209,True,11,0.24,7,21.519999999999996,7
210,True,18,0.19,13,43.78,13
211,True,20,0.18,11,47.0,11
212,True,4,0.11,0,0.88,0
213,True,20,0.27,11,65.0,11
214,True,16,0.34,19,62.52,19
215,True,12,0.62,1,45.64,1
216,True,6,0.89,6,22.02,6
217,True,3,0.7,3,6.1499999999999995,3
218,True,6,0.8,11,25.400000000000002,11
219,True,15,0.58,16,81.25,16
220,True,11,0.29,17,34.545,17
221,True,11,0.82,18,67.61,18
222,True,17,0.69,0,99.70499999999998,0
223,True,18,0.72,7,123.63999999999999,7
224,True,1,0.65,0,0.325,0
225,True,12,0.15,5,15.799999999999999,5
226,True,5,0.37,17,21.625,17
227,True,20,0.61,5,127.0,5
228,True,15,0.85,12,107.625,12
229,True,11,0.4,15,39.2,15
230,True,9,0.93,18,55.665000000000006,18
231,True,13,0.05,0,4.2250000000000005,0
232,True,18,0.47,14,90.13999999999999,14
233,True,3,0.47,1,3.1149999999999998,1
234,True,14,0.56,9,63.88,9
235,True,15,0.67,17,92.375,17
236,True,7,0.72,7,24.64,7
237,True,2,0.19,7,7.38,7
238,True,8,0.24,17,24.68,17
239,True,19,0.74,7,140.57,7
240,True,1,0.86,4,4.43,4
241,True,13,0.92,15,92.74000000000001,15
242,True,12,0.4,9,37.800000000000004,9
243,True,3,0.25,12,13.125,12
244,True,20,0.49,8,106.0,8
245,True,10,0.06,0,3.0,0
246,True,19,0.37,19,85.785,19
247,True,6,0.51,7,16.18,7
248,True,20,0.79,9,167.0,9
249,True,16,0.12,20,35.36,20
250,True,15,0.25,8,36.125,8
251,True,19,0.94,19,188.67,19
252,True,9,0.21,6,14.504999999999999,6
253,True,19,0.2,17,53.1,17
254,True,7,0.43,20,30.535,20
255,True,3,0.07,16,16.315,16
256,True,6,0.46,3,11.280000000000001,3
257,True,4,0.72,5,10.76,5
258,True,1,0.77,9,9.385,9
259,True,5,0.35,8,12.375,8
260,True,10,0.82,3,44.0,3
261,True,10,0.68,9,43.0,9
262,True,4,0.81,14,20.48,14
263,True,10,0.2,3,13.0,3
264,True,1,0.14,20,20.07,20
265,True,19,0.51,5,97.05499999999999,5
266,True,1,0.9,1,1.45,1
267,True,19,0.67,5,125.935,5
268,True,12,0.77,19,74.44,19
269,True,12,0.29,4,24.879999999999995,4
270,True,8,0.72,6,29.04,6
271,True,14,0.6,2,60.800000000000004,2
272,True,18,0.28,19,64.36000000000001,19
273,True,13,0.84,4,74.98,4
274,True,7,0.47,10,21.515,10
275,True,2,0.61,0,1.22,0
276,True,13,0.6,17,67.69999999999999,17
277,True,18,0.28,13,58.36000000000001,13
278,True,3,0.29,4,5.305,4
279,True,2,0.64,11,12.28,11
280,True,2,0.42,4,4.84,4
281,True,18,0.7,5,118.39999999999999,5
282,True,17,0.9,0,130.05,0
283,True,5,0.44,2,7.5,2
284,True,1,0.75,19,19.375,19
285,True,9,0.79,11,42.995000000000005,11
286,True,4,0.12,14,14.96,14
287,True,10,0.7,9,44.0,9
288,True,13,0.27,11,33.815,11
289,True,14,0.55,1,54.900000000000006,1
290,True,10,0.52,9,35.0,9
291,True,6,0.59,10,20.62,10
292,True,5,0.58,5,12.25,5
293,True,10,0.51,12,37.5,12
294,True,20,0.5,18,118.0,18
295,True,12,0.53,3,41.160000000000004,3
296,True,20,0.32,11,75.0,11
297,True,14,0.14,11,24.72,11
298,True,17,0.15,18,39.675,18
299,True,19,0.35,10,73.175,10
300,True,12,0.75,10,64.0,10
301,True,14,0.26,4,29.48,4
302,True,6,0.57,9,19.259999999999998,9
303,True,14,0.3,10,39.400000000000006,10
304,True,8,0.67,9,30.44,9
305,True,18,0.33,5,58.46,5
306,True,7,0.35,18,26.575,18
307,True,11,0.32,1,20.36,1
308,True,16,0.45,3,60.6,3
309,True,18,0.27,11,54.74,11
310,True,6,0.28,14,19.04,14
311,True,10,0.14,4,11.0,4
312,True,4,0.91,18,25.28,18
313,True,11,0.47,17,45.435,17
314,True,4,0.37,9,11.96,9
315,True,10,0.86,7,50.0,7
316,True,11,0.49,4,33.644999999999996,4
317,True,6,0.26,17,21.68,17
318,True,6,0.38,14,20.84,14
319,True,13,0.32,12,39.04,12
320,True,20,0.43,4,90.0,4
321,True,20,0.34,1,69.0,1
322,True,13,0.78,4,69.91,4
323,True,16,0.93,11,130.04000000000002,11
324,True,9,0.48,1,20.44,1
325,True,20,0.53,19,125.00000000000001,19
326,True,13,0.22,4,22.59,4
327,True,8,0.11,14,17.52,14
328,True,6,0.79,1,15.22,1
329,True,2,0.34,5,5.68,5
330,True,10,0.09,9,13.5,9
331,True,9,0.33,19,32.365,19
332,True,1,0.38,7,7.19,7
333,True,13,0.15,4,16.674999999999997,4
334,True,15,0.33,0,37.125,0
335,True,5,0.33,19,23.125,19
336,True,19,0.73,1,132.765,1
337,True,8,0.81,17,42.92,17
338,True,1,0.18,17,17.09,17
339,True,2,0.52,17,18.04,17
340,True,6,0.06,7,8.08,7
341,True,11,0.77,17,63.585,17
342,True,11,0.88,13,66.24,13
343,True,11,0.92,6,61.660000000000004,6
344,True,9,0.5,1,21.25,1
345,True,2,0.26,14,14.52,14
346,True,11,0.47,3,31.435,3
347,True,8,0.7,7,29.4,7
348,True,11,0.65,12,51.325,12
349,True,7,0.64,2,17.68,2
350,True,15,0.62,2,71.75,2
351,True,6,0.15,1,3.6999999999999997,1
352,True,9,0.74,2,31.97,2
353,True,3,0.5,12,14.25,12
354,True,8,0.6,18,37.2,18
355,True,14,0.93,20,111.14000000000001,20
356,True,18,0.53,13,98.86000000000001,13
357,True,2,0.57,4,5.14,4
358,True,8,0.07,10,12.24,10
359,True,10,0.78,5,44.0,5
360,True,5,0.3,5,8.75,5
361,True,20,0.23,12,58.00000000000001,12
362,True,9,0.44,19,36.82,19
363,True,5,0.92,8,19.5,8
364,True,1,0.37,7,7.185,7
365,True,10,0.73,4,40.5,4
366,True,10,0.34,5,22.0,5
367,True,19,0.7,3,129.35,3
368,True,8,0.92,11,40.44,11
369,True,2,0.15,4,4.3,4
370,True,3,0.35,17,18.575,17
371,True,20,0.67,12,146.0,12
372,True,2,0.47,19,19.94,19
373,True,10,0.58,19,48.0,19
374,True,17,0.16,3,26.12,3
375,True,14,0.08,12,19.84,12
376,True,10,0.49,8,32.5,8
377,True,15,0.63,10,80.875,10
378,True,12,0.27,19,38.44,19
379,True,4,0.37,18,20.96,18
380,True,13,0.93,15,93.585,15
381,True,8,0.5,18,34.0,18
382,True,17,0.87,7,132.71499999999997,7
383,True,3,0.69,13,16.105,13
384,True,6,0.67,11,23.060000000000002,11
385,True,13,0.26,19,40.97,19
386,True,14,0.69,13,80.62,13
387,True,10,0.91,15,60.5,15
388,True,12,0.55,17,56.6,17
389,True,14,0.06,20,25.88,20
390,True,5,0.13,11,12.625,11
391,True,12,0.35,11,36.199999999999996,11
392,True,8,0.72,7,30.04,7
393,True,18,0.14,5,27.680000000000003,5
394,True,7,0.27,20,26.615000000000002,20
395,True,12,0.72,7,58.84,7
396,True,6,0.25,20,24.5,20
397,True,15,0.7,16,94.75,16
398,True,3,0.94,5,9.23,5
399,True,17,0.35,0,50.574999999999996,0
400,True,12,0.69,11,60.67999999999999,11
401,True,3,0.67,10,13.015,10
402,True,18,0.24,3,41.88,3
403,True,7,0.77,5,23.865000000000002,5
404,True,11,0.21,9,21.705,9
405,True,14,0.09,16,24.82,16
406,True,2,0.86,8,9.72,8
407,True,16,0.32,16,56.96,16
408,True,12,0.94,14,81.67999999999999,14
409,True,2,0.36,13,13.72,13
410,True,8,0.93,6,35.760000000000005,6
411,True,4,0.77,12,18.16,12
412,True,7,0.25,20,26.125,20
413,True,3,0.65,8,10.925,8
414,True,18,0.06,0,9.72,0
415,True,17,0.76,6,115.82,6
416,True,3,0.82,19,22.69,19
417,True,2,0.19,3,3.38,3
418,True,2,0.59,9,10.18,9
419,True,17,0.85,4,126.82499999999999,4
420,True,20,0.36,8,80.0,8
421,True,9,0.72,6,35.16,6
422,True,4,0.3,20,22.4,20
423,True,9,0.11,10,14.455,10
424,True,7,0.52,3,15.74,3
425,True,14,0.36,10,45.28,10
426,True,4,0.87,14,20.96,14
427,True,2,0.12,7,7.24,7
428,True,17,0.5,18,90.25,18
429,True,4,0.82,11,17.56,11
430,True,17,0.42,10,70.69,10
431,True,4,0.53,12,16.240000000000002,12
432,True,14,0.44,15,58.120000000000005,15
433,True,6,0.8,2,16.400000000000002,2
434,True,3,0.24,5,6.08,5
435,True,13,0.72,15,75.84,15
436,True,7,0.28,3,9.86,3
437,True,8,0.67,17,38.44,17
438,True,12,0.85,10,71.19999999999999,10
439,True,8,0.44,11,25.08,11
440,True,18,0.65,4,109.30000000000001,4
441,True,12,0.46,20,53.120000000000005,20
442,True,5,0.55,20,26.875,20
443,True,9,0.81,0,32.80500000000001,0
444,True,5,0.57,9,16.125,9
445,True,11,0.11,15,21.655,15
446,True,9,0.16,17,23.48,17
447,True,17,0.51,18,91.695,18
448,True,14,0.68,20,86.64000000000001,20
449,True,17,0.82,17,135.49,17
450,True,13,0.89,6,81.205,6
451,True,14,0.77,10,85.46000000000001,10
452,True,4,0.78,9,15.24,9
453,True,1,0.27,4,4.135,4
454,True,10,0.8,12,52.0,12
455,True,7,0.57,1,14.965,1
456,True,19,0.26,4,50.93000000000001,4
457,True,10,0.75,5,42.5,5
458,True,8,0.59,8,26.88,8
459,True,20,0.89,2,180.0,2
460,True,20,0.15,3,33.0,3
461,True,5,0.17,8,10.125,8
462,True,1,0.82,8,8.41,8
463,True,12,0.25,0,18.0,0
464,True,1,0.17,10,10.085,10
465,True,8,0.53,6,22.96,6
466,True,10,0.06,8,11.0,8
