,G,n,post,pre,x,y
133,True,3,140,142.25,14,10
134,True,5,54,60.25,3,18
135,True,8,180,196.0,20,9
136,True,18,18,99.0,18,1
137,True,3,2,4.25,2,1
138,True,19,240,330.25,20,12
139,True,8,0,16.0,14,0
140,True,16,0,64.0,15,0
141,True,3,0,2.25,17,0
142,True,18,96,177.0,8,12
143,True,5,304,310.25,16,19
144,True,11,180,210.25,10,18
145,True,14,25,74.0,5,5
146,True,5,9,15.25,3,3
147,True,6,272,281.0,17,16
148,True,15,108,164.25,6,18
149,True,9,72,92.25,6,12
150,True,15,96,152.25,16,6
151,True,7,340,352.25,20,17
152,True,5,35,41.25,5,7
153,True,4,48,52.0,12,4
154,True,13,45,87.25,5,9
155,True,16,160,224.0,8,20
156,True,4,135,139.0,15,9
157,True,8,360,376.0,20,18
158,True,13,120,162.25,20,6
159,True,2,30,31.0,6,5
160,True,10,120,145.0,6,20
161,True,10,306,331.0,17,18
162,True,7,66,78.25,11,6
163,True,19,100,190.25,20,5
164,True,11,54,84.25,9,6
165,True,18,56,137.0,7,8
166,True,11,0,30.25,0,7
167,True,13,220,262.25,11,20
168,True,6,14,23.0,1,14
169,True,20,14,114.0,2,7
170,True,12,30,66.0,10,3
171,True,10,180,205.0,15,12
172,True,13,5,47.25,5,1
173,True,11,76,106.25,19,4
174,True,17,90,162.25,15,6
175,True,2,11,12.0,1,11
176,True,15,65,121.25,5,13
177,True,2,24,25.0,2,12
178,True,16,360,424.0,18,20
179,True,18,88,169.0,8,11
180,True,3,285,287.25,19,15
181,True,19,0,90.25,0,12
182,True,14,34,83.0,2,17
183,True,6,35,44.0,5,7
184,True,15,19,75.25,19,1
185,True,17,39,111.25,3,13
186,True,16,247,311.0,19,13
187,True,20,20,120.0,20,1
188,True,7,66,78.25,6,11
189,True,20,0,100.0,7,0
190,True,8,208,224.0,13,16
191,True,4,108,112.0,18,6
192,True,8,361,377.0,19,19
193,True,13,156,198.25,12,13
194,True,16,117,181.0,13,9
195,True,5,289,295.25,17,17
196,True,10,228,253.0,12,19
197,True,9,0,20.25,3,0
198,True,8,40,56.0,8,5
199,True,19,32,122.25,16,2
200,True,18,48,129.0,16,3
201,True,7,306,318.25,17,18
202,True,17,30,102.25,15,2
203,True,5,68,74.25,17,4
204,True,3,110,112.25,10,11
205,True,2,36,37.0,9,4
206,True,19,0,90.25,0,8
207,True,3,225,227.25,15,15
208,True,11,0,30.25,20,0
209,True,13,180,222.25,18,10
210,True,1,12,12.25,2,6
211,True,9,0,20.25,0,13
212,True,20,4,104.0,4,1
213,True,10,247,272.0,19,13
214,True,5,66,72.25,6,11
215,True,3,225,227.25,15,15
216,True,6,140,149.0,10,14
217,True,5,88,94.25,8,11
218,True,15,12,68.25,3,4
219,True,6,0,9.0,17,0
220,True,15,50,106.25,5,10
221,True,17,24,96.25,2,12
222,True,16,48,112.0,4,12
223,True,3,162,164.25,9,18
224,True,12,320,356.0,20,16
225,True,10,2,27.0,2,1
226,True,9,140,160.25,14,10
227,True,18,40,121.0,2,20
228,True,17,135,207.25,15,9
229,True,4,119,123.0,7,17
230,True,18,132,213.0,11,12
231,True,3,12,14.25,4,3
232,True,8,48,64.0,8,6
233,True,8,30,46.0,10,3
234,True,17,0,72.25,16,0
235,True,7,126,138.25,7,18
236,True,15,0,56.25,0,10
237,True,16,288,352.0,18,16
238,True,19,1,91.25,1,1
239,True,17,11,83.25,1,11
240,True,9,380,400.25,19,20
241,True,20,195,295.0,13,15
242,True,17,24,96.25,12,2
243,True,4,14,18.0,7,2
244,True,20,200,300.0,20,10
245,True,6,234,243.0,13,18
246,True,15,11,67.25,1,11
247,True,16,0,64.0,3,0
248,True,5,247,253.25,13,19
249,True,7,112,124.25,7,16
250,True,15,135,191.25,15,9
251,True,10,252,277.0,18,14
252,True,4,0,4.0,0,6
253,True,15,16,72.25,1,16
254,True,16,224,288.0,16,14
255,True,6,15,24.0,5,3
256,True,17,64,136.25,16,4
257,True,13,0,42.25,0,20
258,True,10,30,55.0,10,3
259,True,7,133,145.25,7,19
260,True,1,68,68.25,4,17
261,True,13,0,42.25,0,13
262,True,3,32,34.25,16,2
263,True,7,238,250.25,17,14
264,True,3,133,135.25,19,7
265,True,20,19,119.0,1,19
266,True,10,126,151.0,14,9
267,True,4,266,270.0,14,19
268,True,3,48,50.25,12,4
269,True,4,210,214.0,14,15
270,True,13,0,42.25,0,4
271,True,16,12,76.0,1,12
272,True,8,72,88.0,9,8
273,True,16,182,246.0,14,13
274,True,6,0,9.0,0,18
275,True,19,0,90.25,8,0
276,True,18,2,83.0,1,2
277,True,2,72,73.0,4,18
278,True,8,20,36.0,10,2
279,True,10,40,65.0,4,10
280,True,14,21,70.0,3,7
281,True,6,5,14.0,5,1
282,True,14,14,63.0,7,2
283,True,17,57,129.25,19,3
284,True,10,12,37.0,12,1
285,True,18,6,87.0,3,2
286,True,10,0,25.0,2,0
287,True,6,252,261.0,18,14
288,True,7,0,12.25,0,18
289,True,6,70,79.0,10,7
290,True,19,16,106.25,4,4
291,True,7,126,138.25,7,18
292,True,7,180,192.25,12,15
293,True,20,90,190.0,18,5
294,True,12,15,51.0,1,15
295,True,3,48,50.25,12,4
296,True,20,169,269.0,13,13
297,True,9,200,220.25,20,10
298,True,12,255,291.0,15,17
299,True,13,85,127.25,5,17
300,True,9,12,32.25,1,12
301,True,11,136,166.25,8,17
302,True,13,65,107.25,13,5
303,True,2,32,33.0,4,8
304,True,20,165,265.0,15,11
305,True,16,0,64.0,0,6
306,True,13,51,93.25,17,3
307,True,14,182,231.0,13,14
308,True,13,0,42.25,15,0
309,True,16,192,256.0,12,16
310,True,5,84,90.25,7,12
311,True,20,66,166.0,11,6
312,True,11,57,87.25,3,19
313,True,9,76,96.25,4,19
314,True,6,51,60.0,17,3
315,True,3,30,32.25,2,15
316,True,7,216,228.25,12,18
317,True,3,216,218.25,12,18
318,True,6,99,108.0,11,9
319,True,3,88,90.25,8,11
320,True,5,288,294.25,18,16
321,True,6,234,243.0,18,13
322,True,17,0,72.25,16,0
323,True,1,304,304.25,19,16
324,True,11,72,102.25,6,12
325,True,10,136,161.0,8,17
326,True,18,24,105.0,4,6
327,True,11,133,163.25,19,7
328,True,17,18,90.25,2,9
329,True,6,170,179.0,17,10
330,True,13,143,185.25,13,11
331,True,11,51,81.25,3,17
332,True,5,20,26.25,10,2
333,True,4,221,225.0,17,13
334,True,19,156,246.25,12,13
335,True,9,36,56.25,3,12
336,True,12,48,84.0,6,8
337,True,12,304,340.0,19,16
338,True,20,70,170.0,5,14
339,True,9,90,110.25,10,9
340,True,11,144,174.25,18,8
341,True,10,50,75.0,10,5
342,True,12,285,321.0,19,15
343,True,16,11,75.0,11,1
344,True,1,133,133.25,19,7
345,True,2,99,100.0,9,11
346,True,10,36,61.0,12,3
347,True,2,140,141.0,10,14
348,True,3,153,155.25,17,9
349,True,8,52,68.0,13,4
350,True,3,153,155.25,9,17
351,True,12,55,91.0,11,5
352,True,13,3,45.25,3,1
353,True,7,72,84.25,12,6
354,True,15,128,184.25,16,8
355,True,15,60,116.25,12,5
356,True,18,240,321.0,16,15
357,True,15,108,164.25,6,18
358,True,6,216,225.0,12,18
359,True,13,25,67.25,5,5
360,True,10,42,67.0,14,3
361,True,11,65,95.25,5,13
362,True,7,5,17.25,1,5
363,True,6,63,72.0,9,7
364,True,19,22,112.25,2,11
365,True,20,6,106.0,6,1
366,True,15,180,236.25,15,12
367,True,2,54,55.0,6,9
368,True,4,0,4.0,0,4
369,True,18,48,129.0,8,6
370,True,12,256,292.0,16,16
371,True,4,198,202.0,11,18
372,True,12,196,232.0,14,14
373,True,13,42,84.25,6,7
374,True,16,54,118.0,18,3
375,True,3,64,66.25,4,16
376,True,11,48,78.25,4,12
377,True,13,150,192.25,10,15
378,True,19,50,140.25,10,5
379,True,4,143,147.0,11,13
380,True,10,208,233.0,13,16
381,True,18,80,161.0,5,16
382,True,1,55,55.25,5,11
383,True,2,132,133.0,11,12
384,True,3,78,80.25,6,13
385,True,5,132,138.25,11,12
386,True,1,0,0.25,2,0
387,True,8,272,288.0,16,17
388,True,4,182,186.0,13,14
389,True,14,100,149.0,20,5
390,True,20,0,100.0,3,0
391,True,8,32,48.0,8,4
392,True,4,104,108.0,13,8
393,True,17,15,87.25,5,3
394,True,11,51,81.25,3,17
395,True,18,135,216.0,9,15
396,True,9,9,29.25,3,3
397,True,10,18,43.0,18,1
398,True,19,252,342.25,18,14
399,True,20,72,172.0,9,8
400,True,6,27,36.0,9,3
401,True,6,90,99.0,5,18
402,True,14,143,192.0,13,11
403,True,5,84,90.25,12,7
404,True,17,80,152.25,20,4
405,True,8,0,16.0,9,0
406,True,1,66,66.25,6,11
407,True,2,24,25.0,6,4
408,True,4,272,276.0,17,16
409,True,10,220,245.0,11,20
410,True,16,49,113.0,7,7
411,True,10,27,52.0,3,9
412,True,13,64,106.25,8,8
413,True,4,128,132.0,8,16
414,True,7,66,78.25,11,6
415,True,4,30,34.0,2,15
416,True,1,285,285.25,19,15
417,True,18,154,235.0,11,14
418,True,6,140,149.0,20,7
419,True,15,20,76.25,1,20
420,True,3,128,130.25,16,8
421,True,19,85,175.25,17,5
422,True,3,143,145.25,13,11
423,True,2,4,5.0,2,2
424,True,10,64,89.0,4,16
425,True,11,24,54.25,6,4
426,True,7,133,145.25,7,19
427,True,5,128,134.25,8,16
428,True,10,0,25.0,0,1
429,True,8,42,58.0,3,14
430,True,11,153,183.25,17,9
431,True,18,32,113.0,4,8
432,True,9,30,50.25,5,6
433,True,20,0,100.0,0,5
434,True,15,38,94.25,2,19
435,True,11,0,30.25,14,0
436,True,13,42,84.25,6,7
437,True,1,160,160.25,20,8
438,True,16,0,64.0,14,0
439,True,2,60,61.0,15,4
440,True,8,195,211.0,13,15
441,True,18,45,126.0,15,3
442,True,13,77,119.25,11,7
443,True,17,63,135.25,9,7
444,True,3,45,47.25,3,15
445,True,15,143,199.25,11,13
446,True,17,144,216.25,18,8
447,True,17,190,262.25,10,19
448,True,18,80,161.0,20,4
449,True,17,182,254.25,13,14
450,True,7,119,131.25,17,7
451,True,14,16,65.0,16,1
452,True,1,112,112.25,8,14
453,True,10,44,69.0,4,11
454,True,8,0,16.0,0,16
455,True,4,30,34.0,6,5
456,True,3,98,100.25,14,7
457,True,2,88,89.0,11,8
458,True,6,110,119.0,10,11
459,True,1,132,132.25,12,11
460,True,12,88,124.0,8,11
461,True,2,112,113.0,14,8
462,True,19,133,223.25,19,7
463,True,5,8,14.25,4,2
464,True,7,255,267.25,15,17
465,True,15,133,189.25,7,19
466,True,1,36,36.25,9,4
467,True,10,36,61.0,6,6
468,True,19,0,90.25,0,2
469,True,6,400,409.0,20,20
470,True,5,48,54.25,4,12
471,True,9,0,20.25,9,0
472,True,10,400,425.0,20,20
473,True,12,289,325.0,17,17
474,True,3,44,46.25,4,11
475,True,11,55,85.25,11,5
476,True,19,13,103.25,13,1
