,G,c1,c2,count,p1,p2,post,pre
74,True,0,0,2,0.38,0.81,2,3.19
75,True,0,0,5,0.77,0.66,5,6.43
76,True,0,0,10,0.81,0.43,10,11.24
77,True,0,0,2,0.4,0.41,2,2.81
78,True,0,0,3,0.68,0.8,3,4.48
79,True,0,0,14,0.56,0.15,14,14.71
80,True,0,0,20,0.6,0.64,20,21.24
81,True,0,0,13,0.78,0.63,13,14.41
82,True,0,0,4,0.56,0.93,4,5.49
83,True,0,0,20,0.53,0.89,20,21.42
84,True,0,0,20,0.23,0.06,20,20.29
85,True,0,0,9,0.58,0.64,9,10.22
86,True,0,0,2,0.56,0.42,2,2.98
87,True,0,0,7,0.58,0.4,7,7.98
88,True,0,0,13,0.78,0.06,13,13.84
89,True,0,0,3,0.24,0.48,3,3.7199999999999998
90,True,0,0,16,0.14,0.54,16,16.68
91,True,0,0,11,0.41,0.06,11,11.47
92,True,0,0,14,0.36,0.53,14,14.89
93,True,0,0,15,0.22,0.34,15,15.56
94,True,0,0,12,0.62,0.65,12,13.27
95,True,0,0,2,0.91,0.79,2,3.7
96,True,0,0,1,0.22,0.16,1,1.38
97,True,0,0,16,0.71,0.86,16,17.57
98,True,0,0,3,0.92,0.92,3,4.84
99,True,0,0,16,0.28,0.6,16,16.88
100,True,0,0,6,0.67,0.8,6,7.470000000000001
101,True,0,0,19,0.7,0.42,19,20.12
102,True,0,0,18,0.46,0.17,18,18.63
103,True,0,0,10,0.4,0.54,10,10.94
104,True,0,0,4,0.61,0.42,4,5.03
105,True,0,0,8,0.1,0.42,8,8.52
106,True,0,0,9,0.87,0.66,9,10.53
107,True,0,0,10,0.43,0.27,10,10.7
108,True,0,0,3,0.07,0.39,3,3.46
109,True,0,0,11,0.56,0.6,11,12.16
110,True,0,0,19,0.87,0.87,19,20.74
111,True,0,0,20,0.67,0.25,20,20.92
112,True,0,0,20,0.07,0.51,20,20.58
113,True,0,0,1,0.41,0.48,1,1.89
114,True,0,0,19,0.82,0.19,19,20.01
115,True,0,0,0,0.38,0.54,0,0.92
116,True,0,0,8,0.49,0.36,8,8.85
117,True,0,0,8,0.48,0.89,8,9.370000000000001
118,True,0,0,17,0.47,0.37,17,17.84
119,True,0,0,4,0.33,0.68,4,5.01
120,True,0,0,4,0.82,0.65,4,5.47
121,True,0,0,13,0.46,0.46,13,13.92
122,True,0,0,8,0.7,0.48,8,9.18
123,True,0,0,12,0.08,0.1,12,12.18
124,True,0,0,5,0.36,0.7,5,6.0600000000000005
125,True,0,0,3,0.86,0.39,3,4.25
126,True,0,0,16,0.16,0.54,16,16.7
127,True,0,0,3,0.18,0.19,3,3.37
128,True,0,0,0,0.79,0.54,0,1.33
129,True,0,0,9,0.1,0.9,9,10.0
130,True,0,0,4,0.39,0.66,4,5.05
131,True,0,0,11,0.57,0.4,11,11.97
132,True,0,0,8,0.95,0.93,8,9.879999999999999
133,True,0,0,13,0.65,0.85,13,14.5
134,True,0,0,10,0.72,0.49,10,11.21
135,True,0,0,7,0.38,0.89,7,8.27
136,True,0,0,17,0.94,0.9,17,18.84
137,True,0,0,7,0.28,0.11,7,7.39
138,True,0,0,17,0.73,0.2,17,17.93
