,G,n,p,post,pre,x,y
267,True,9,0.76,16,16,16,13
268,True,10,0.25,3,3,3,14
269,True,3,0.67,11,11,11,17
270,True,11,0.48,15,15,15,12
271,True,1,0.89,19,19,19,6
272,True,2,0.75,13,13,13,9
273,True,18,0.74,2,2,2,9
274,True,16,0.25,12,12,12,2
275,True,12,0.33,14,14,14,11
276,True,10,0.66,18,18,18,13
277,True,2,0.8,17,17,17,10
278,True,15,0.32,20,20,20,3
279,True,18,0.74,13,13,13,19
280,True,11,0.16,9,9,9,2
281,True,16,0.57,0,0,0,6
282,True,12,0.29,14,14,14,20
283,True,2,0.62,3,3,3,1
284,True,11,0.25,11,11,11,8
285,True,15,0.49,18,18,18,3
286,True,8,0.08,3,3,3,5
287,True,16,0.86,7,7,7,13
288,True,11,0.69,12,12,12,19
289,True,10,0.74,19,19,19,7
290,True,12,0.88,2,2,2,3
291,True,6,0.84,17,17,17,20
292,True,19,0.47,8,8,8,6
293,True,13,0.71,1,1,1,2
294,True,19,0.51,16,16,16,3
295,True,4,0.39,10,10,10,12
296,True,8,0.44,13,13,13,3
297,True,1,0.48,6,6,6,7
298,True,11,0.5,17,17,17,17
299,True,4,0.45,17,17,17,1
300,True,16,0.08,15,15,15,2
301,True,12,0.4,10,10,10,5
302,True,6,0.58,19,19,19,12
303,True,6,0.92,13,13,13,7
304,True,18,0.8,12,12,12,0
305,True,12,0.15,1,1,1,16
306,True,1,0.85,3,3,3,5
307,True,4,0.82,19,19,19,9
308,True,14,0.17,17,17,17,13
309,True,7,0.75,6,6,6,10
310,True,11,0.91,15,15,15,15
311,True,17,0.37,5,5,5,13
312,True,18,0.18,14,14,14,3
313,True,9,0.2,9,9,9,8
314,True,5,0.5,8,8,8,16
315,True,10,0.79,1,1,1,16
316,True,19,0.69,1,1,1,4
317,True,9,0.24,15,15,15,20
318,True,1,0.28,2,2,2,15
319,True,14,0.53,3,3,3,2
320,True,19,0.57,7,7,7,7
321,True,1,0.09,8,8,8,16
322,True,6,0.19,13,13,13,11
323,True,1,0.81,4,4,4,7
324,True,17,0.3,5,5,5,4
325,True,10,0.11,16,16,16,3
326,True,2,0.82,14,14,14,9
327,True,12,0.3,10,10,10,3
328,True,4,0.17,20,20,20,11
329,True,11,0.49,8,8,8,17
330,True,10,0.65,17,17,17,0
331,True,15,0.21,18,18,18,17
332,True,16,0.69,6,6,6,2
333,True,18,0.41,12,12,12,2
334,True,2,0.58,4,4,4,7
335,True,4,0.9,16,16,16,18
336,True,9,0.44,13,13,13,11
337,True,3,0.4,7,7,7,18
338,True,5,0.9,3,3,3,0
339,True,7,0.61,10,10,10,7
340,True,20,0.7,6,6,6,3
341,True,1,0.57,2,2,2,19
342,True,1,0.64,18,18,18,11
343,True,1,0.93,3,3,3,18
344,True,12,0.57,0,0,0,6
345,True,18,0.31,8,8,8,18
346,True,10,0.81,11,11,11,16
347,True,12,0.69,15,15,15,19
348,True,14,0.28,1,1,1,12
349,True,9,0.06,5,5,5,20
350,True,18,0.81,11,11,11,10
351,True,20,0.33,13,13,13,12
352,True,13,0.71,15,15,15,11
353,True,15,0.64,11,11,11,1
354,True,19,0.53,18,18,18,13
355,True,4,0.51,11,11,11,0
356,True,14,0.55,9,9,9,15
357,True,8,0.24,0,0,0,15
358,True,17,0.52,15,15,15,2
359,True,11,0.22,10,10,10,10
360,True,16,0.58,18,18,18,5
361,True,19,0.07,0,0,0,16
362,True,1,0.66,3,3,3,18
363,True,1,0.5,6,6,6,9
364,True,12,0.87,20,20,20,2
365,True,2,0.38,4,4,4,6
366,True,12,0.14,19,19,19,19
367,True,1,0.75,9,9,9,18
368,True,2,0.78,8,8,8,20
369,True,11,0.4,0,0,0,18
370,True,11,0.63,11,11,11,13
371,True,16,0.8,5,5,5,11
372,True,12,0.17,4,4,4,3
373,True,3,0.48,15,15,15,5
374,True,12,0.11,19,19,19,19
375,True,1,0.2,14,14,14,2
376,True,12,0.25,18,18,18,12
377,True,6,0.58,13,13,13,18
378,True,18,0.79,5,5,5,15
379,True,19,0.41,4,4,4,4
380,True,8,0.93,16,16,16,9
381,True,17,0.7,10,10,10,1
382,True,8,0.64,11,11,11,3
383,True,18,0.41,7,7,7,16
384,True,15,0.18,6,6,6,4
385,True,19,0.67,4,4,4,4
386,True,1,0.46,20,20,20,12
387,True,4,0.74,16,16,16,8
388,True,4,0.32,0,0,0,18
389,True,16,0.6,11,11,11,7
390,True,12,0.65,6,6,6,17
391,True,5,0.78,10,10,10,8
392,True,20,0.47,8,8,8,17
393,True,3,0.28,4,4,4,2
394,True,8,0.61,16,16,16,15
395,True,9,0.27,15,15,15,3
396,True,9,0.58,4,4,4,1
397,True,17,0.87,10,10,10,15
398,True,13,0.88,7,7,7,20
399,True,3,0.8,2,2,2,9
400,True,10,0.14,15,15,15,7
401,True,4,0.35,20,20,20,12
402,True,5,0.63,5,5,5,9
403,True,9,0.92,11,11,11,0
404,True,12,0.52,20,20,20,6
405,True,7,0.34,11,11,11,4
406,True,18,0.42,5,5,5,9
407,True,18,0.46,5,5,5,12
408,True,19,0.53,15,15,15,5
409,True,8,0.11,5,5,5,13
410,True,17,0.52,1,1,1,8
411,True,3,0.81,19,19,19,18
412,True,8,0.47,1,1,1,10
413,True,12,0.95,13,13,13,15
414,True,5,0.88,7,7,7,6
415,True,12,0.11,5,5,5,8
416,True,17,0.21,13,13,13,14
417,True,10,0.58,19,19,19,14
418,True,8,0.59,9,9,9,8
419,True,19,0.32,6,6,6,19
420,True,2,0.61,0,0,0,8
421,True,18,0.45,7,7,7,7
422,True,8,0.74,1,1,1,4
423,True,17,0.77,2,2,2,10
424,True,10,0.05,4,4,4,1
425,True,15,0.87,7,7,7,12
426,True,9,0.52,6,6,6,16
427,True,12,0.89,2,2,2,2
428,True,3,0.27,15,15,15,11
429,True,18,0.43,11,11,11,4
430,True,7,0.14,11,11,11,14
431,True,15,0.42,4,4,4,3
432,True,3,0.3,19,19,19,7
433,True,8,0.9,8,8,8,12
434,True,2,0.84,6,6,6,0
435,True,13,0.15,0,0,0,3
436,True,10,0.2,1,1,1,8
437,True,14,0.11,14,14,14,7
438,True,2,0.56,13,13,13,16
439,True,2,0.57,7,7,7,12
440,True,6,0.54,5,5,5,20
441,True,15,0.61,12,12,12,11
442,True,13,0.68,4,4,4,5
443,True,6,0.06,14,14,14,2
444,True,10,0.58,6,6,6,8
445,True,10,0.56,5,5,5,14
446,True,16,0.41,6,6,6,13
447,True,12,0.6,12,12,12,10
448,True,10,0.09,17,17,17,10
449,True,15,0.92,8,8,8,16
450,True,14,0.33,6,6,6,7
451,True,4,0.93,5,5,5,13
452,True,16,0.94,12,12,12,17
453,True,13,0.34,11,11,11,7
454,True,8,0.52,13,13,13,8
455,True,8,0.32,1,1,1,17
456,True,18,0.66,12,12,12,8
457,True,6,0.47,1,1,1,8
458,True,12,0.87,3,3,3,1
459,True,9,0.61,2,2,2,9
460,True,11,0.36,7,7,7,8
461,True,9,0.67,4,4,4,1
462,True,18,0.54,3,3,3,11
463,True,11,0.11,20,20,20,17
464,True,19,0.73,5,5,5,5
465,True,11,0.41,5,5,5,12
466,True,3,0.6,15,15,15,5
467,True,19,0.18,4,4,4,0
468,True,14,0.12,19,19,19,20
469,True,13,0.35,17,17,17,5
470,True,2,0.71,6,6,6,20
471,True,1,0.89,20,20,20,14
472,True,20,0.89,15,15,15,2
473,True,8,0.77,15,15,15,7
474,True,11,0.67,4,4,4,19
475,True,18,0.44,8,8,8,18
476,True,17,0.58,10,10,10,9
477,True,6,0.72,10,10,10,5
478,True,4,0.08,1,1,1,19
479,True,14,0.56,7,7,7,20
480,True,1,0.69,0,0,0,19
