,G,n,post,pre,z
160,True,12,19,21,19
161,True,3,11,13,11
162,True,15,16,18,16
163,True,14,2,4,2
164,True,18,19,21,19
165,True,19,10,12,10
166,True,6,6,8,6
167,True,3,4,6,4
168,True,7,9,11,9
169,True,9,15,17,15
170,True,9,5,7,5
171,True,5,10,12,10
172,True,1,14,16,14
173,True,17,5,7,5
174,True,8,20,22,20
175,True,16,10,12,10
176,True,7,12,14,12
177,True,16,18,20,18
178,True,13,10,12,10
179,True,7,9,11,9
180,True,8,13,15,13
181,True,8,2,4,2
182,True,10,2,4,2
183,True,1,20,22,20
184,True,10,20,22,20
185,True,15,2,4,2
186,True,19,16,18,16
187,True,10,10,12,10
188,True,6,11,13,11
189,True,15,12,14,12
190,True,6,16,18,16
191,True,7,4,6,4
192,True,10,13,15,13
193,True,8,18,20,18
194,True,3,16,18,16
195,True,7,2,4,2
196,True,3,3,5,3
197,True,16,15,17,15
198,True,15,13,15,13
199,True,12,0,2,0
200,True,3,16,18,16
201,True,20,5,7,5
202,True,20,16,18,16
203,True,4,0,2,0
204,True,6,20,22,20
205,True,8,3,5,3
206,True,14,4,6,4
207,True,10,1,3,1
208,True,11,17,19,17
209,True,19,8,10,8
210,True,10,9,11,9
211,True,16,7,9,7
212,True,16,20,22,20
213,True,4,12,14,12
214,True,6,12,14,12
215,True,9,20,22,20
216,True,19,9,11,9
217,True,15,6,8,6
218,True,20,11,13,11
219,True,11,20,22,20
220,True,6,18,20,18
221,True,13,12,14,12
222,True,2,6,8,6
223,True,18,1,3,1
224,True,16,19,21,19
225,True,5,6,8,6
226,True,4,4,6,4
227,True,14,3,5,3
228,True,18,4,6,4
229,True,15,16,18,16
230,True,14,11,13,11
231,True,15,8,10,8
232,True,17,17,19,17
233,True,3,17,19,17
234,True,9,16,18,16
235,True,1,8,10,8
236,True,15,2,4,2
237,True,10,18,20,18
238,True,11,15,17,15
239,True,15,12,14,12
240,True,18,3,5,3
241,True,10,9,11,9
242,True,7,16,18,16
243,True,6,8,10,8
244,True,11,10,12,10
245,True,17,6,8,6
246,True,10,0,2,0
247,True,13,7,9,7
248,True,3,18,20,18
249,True,2,13,15,13
250,True,9,2,4,2
251,True,19,7,9,7
252,True,18,4,6,4
253,True,2,17,19,17
254,True,14,11,13,11
255,True,2,19,21,19
256,True,13,8,10,8
257,True,7,16,18,16
258,True,19,12,14,12
259,True,9,12,14,12
260,True,15,12,14,12
261,True,8,13,15,13
262,True,2,7,9,7
263,True,5,4,6,4
264,True,11,9,11,9
265,True,14,12,14,12
266,True,16,2,4,2
267,True,9,18,20,18
268,True,14,16,18,16
269,True,9,19,21,19
270,True,3,13,15,13
271,True,18,16,18,16
272,True,17,17,19,17
273,True,5,9,11,9
274,True,16,14,16,14
275,True,14,18,20,18
276,True,13,0,2,0
277,True,3,11,13,11
278,True,16,5,7,5
279,True,14,4,6,4
280,True,5,4,6,4
281,True,7,7,9,7
282,True,2,17,19,17
283,True,8,5,7,5
284,True,8,2,4,2
285,True,15,12,14,12
286,True,3,4,6,4
287,True,9,4,6,4
288,True,20,16,18,16
289,True,1,2,4,2
290,True,7,12,14,12
291,True,3,16,18,16
292,True,4,10,12,10
293,True,8,10,12,10
294,True,5,3,5,3
295,True,15,12,14,12
296,True,13,7,9,7
297,True,9,12,14,12
298,True,15,4,6,4
299,True,12,6,8,6
300,True,8,10,12,10
301,True,12,16,18,16
302,True,14,15,17,15
303,True,16,1,3,1
304,True,15,6,8,6
305,True,12,1,3,1
306,True,6,7,9,7
307,True,5,15,17,15
308,True,5,11,13,11
309,True,14,14,16,14
310,True,15,16,18,16
311,True,1,1,3,1
312,True,19,3,5,3
313,True,1,6,8,6
314,True,8,3,5,3
315,True,5,12,14,12
316,True,4,1,3,1
317,True,10,14,16,14
318,True,19,17,19,17
319,True,4,10,12,10
320,True,14,4,6,4
321,True,20,17,19,17
322,True,8,9,11,9
323,True,18,18,20,18
324,True,4,6,8,6
325,True,10,7,9,7
326,True,11,18,20,18
327,True,15,6,8,6
328,True,15,10,12,10
329,True,17,8,10,8
330,True,11,11,13,11
331,True,17,16,18,16
332,True,2,16,18,16
333,True,3,9,11,9
334,True,20,5,7,5
335,True,9,20,22,20
336,True,1,10,12,10
337,True,4,1,3,1
338,True,7,9,11,9
339,True,14,19,21,19
340,True,20,0,2,0
341,True,5,12,14,12
342,True,4,2,4,2
343,True,13,1,3,1
344,True,11,6,8,6
345,True,11,16,18,16
346,True,14,6,8,6
347,True,15,16,18,16
348,True,2,13,15,13
349,True,3,8,10,8
350,True,20,18,20,18
351,True,7,11,13,11
352,True,6,12,14,12
353,True,7,8,10,8
354,True,18,2,4,2
355,True,9,2,4,2
356,True,11,5,7,5
357,True,13,11,13,11
358,True,12,10,12,10
359,True,7,14,16,14
360,True,16,16,18,16
361,True,8,0,2,0
362,True,6,10,12,10
363,True,8,7,9,7
364,True,14,11,13,11
365,True,14,16,18,16
366,True,7,15,17,15
367,True,4,19,21,19
368,True,2,2,4,2
369,True,10,0,2,0
370,True,6,15,17,15
371,True,18,6,8,6
372,True,12,10,12,10
373,True,8,6,8,6
374,True,19,13,15,13
375,True,18,15,17,15
376,True,1,16,18,16
377,True,4,9,11,9
378,True,12,16,18,16
379,True,8,2,4,2
380,True,5,9,11,9
381,True,16,7,9,7
382,True,11,15,17,15
383,True,3,9,11,9
384,True,8,8,10,8
385,True,10,7,9,7
386,True,14,4,6,4
387,True,5,5,7,5
388,True,18,18,20,18
389,True,8,8,10,8
390,True,18,17,19,17
391,True,17,15,17,15
392,True,11,9,11,9
393,True,7,9,11,9
394,True,9,8,10,8
395,True,15,15,17,15
396,True,10,16,18,16
397,True,10,10,12,10
398,True,7,1,3,1
399,True,14,18,20,18
400,True,19,19,21,19
401,True,14,3,5,3
402,True,4,5,7,5
403,True,16,9,11,9
404,True,18,16,18,16
405,True,8,19,21,19
406,True,1,16,18,16
407,True,7,14,16,14
408,True,17,3,5,3
409,True,8,0,2,0
410,True,20,12,14,12
411,True,13,11,13,11
412,True,11,9,11,9
413,True,18,10,12,10
414,True,3,9,11,9
415,True,19,3,5,3
416,True,15,18,20,18
417,True,8,7,9,7
418,True,12,10,12,10
419,True,3,7,9,7
420,True,18,4,6,4
421,True,10,15,17,15
422,True,5,16,18,16
423,True,9,3,5,3
424,True,16,8,10,8
425,True,3,20,22,20
426,True,18,8,10,8
427,True,17,11,13,11
428,True,4,13,15,13
429,True,3,3,5,3
430,True,13,17,19,17
431,True,5,6,8,6
432,True,2,3,5,3
433,True,4,10,12,10
434,True,6,7,9,7
435,True,15,19,21,19
436,True,10,7,9,7
437,True,3,20,22,20
438,True,20,0,2,0
439,True,18,17,19,17
440,True,15,4,6,4
441,True,18,11,13,11
442,True,17,8,10,8
443,True,13,8,10,8
444,True,3,14,16,14
445,True,14,11,13,11
446,True,11,18,20,18
447,True,17,6,8,6
448,True,20,5,7,5
449,True,7,10,12,10
450,True,8,6,8,6
451,True,16,13,15,13
452,True,3,9,11,9
453,True,17,13,15,13
454,True,6,2,4,2
455,True,13,3,5,3
456,True,7,5,7,5
457,True,11,5,7,5
458,True,20,12,14,12
459,True,9,7,9,7
460,True,20,7,9,7
461,True,16,13,15,13
462,True,2,2,4,2
463,True,5,0,2,0
464,True,19,7,9,7
465,True,2,6,8,6
466,True,9,12,14,12
467,True,2,18,20,18
468,True,11,11,13,11
