,(count*count),(count*x),(count+x),(count-x),(x*x),(x-count),count,expected_post,post-init,x
47,49,28,11,3,16,-3,7,14.0,7.0,4
48,36,60,16,-4,100,4,6,7.0,1.0,10
49,16,0,4,4,0,-4,4,15.0,11.0,0
50,256,0,16,16,0,-16,16,27.0,11.0,0
51,196,126,23,5,81,-5,14,16.0,2.0,9
52,100,20,12,8,4,-8,10,19.0,9.0,2
53,400,200,30,10,100,-10,20,21.0,1.0,10
54,169,39,16,10,9,-10,13,21.0,8.0,3
55,256,64,20,12,16,-12,16,23.0,7.0,4
56,169,104,21,5,64,-5,13,16.0,3.0,8
57,256,64,20,12,16,-12,16,23.0,7.0,4
58,144,96,20,4,64,-4,12,15.0,3.0,8
59,16,36,13,-5,81,5,4,6.0,2.0,9
60,81,72,17,1,64,-1,9,12.0,3.0,8
61,144,84,19,5,49,-5,12,16.0,4.0,7
62,0,0,1,-1,1,1,0,10.0,10.0,1
63,121,22,13,9,4,-9,11,20.0,9.0,2
64,361,190,29,9,100,-9,19,20.0,1.0,10
65,324,144,26,10,64,-10,18,21.0,3.0,8
66,0,0,10,-10,100,10,0,1.0,1.0,10
67,121,110,21,1,100,-1,11,12.0,1.0,10
68,256,48,19,13,9,-13,16,24.0,8.0,3
69,289,68,21,13,16,-13,17,24.0,7.0,4
70,49,28,11,3,16,-3,7,14.0,7.0,4
71,1,7,8,-6,49,6,1,5.0,4.0,7
72,361,114,25,13,36,-13,19,24.0,5.0,6
73,289,51,20,14,9,-14,17,25.0,8.0,3
74,1,8,9,-7,64,7,1,4.0,3.0,8
75,81,18,11,7,4,-7,9,18.0,9.0,2
76,4,10,7,-3,25,3,2,8.0,6.0,5
77,225,120,23,7,64,-7,15,18.0,3.0,8
78,64,40,13,3,25,-3,8,14.0,6.0,5
79,9,3,4,2,1,-2,3,13.0,10.0,1
80,196,112,22,6,64,-6,14,17.0,3.0,8
81,256,80,21,11,25,-11,16,22.0,6.0,5
82,400,40,22,18,4,-18,20,29.0,9.0,2
83,100,70,17,3,49,-3,10,14.0,4.0,7
84,36,36,12,0,36,0,6,11.0,5.0,6
85,16,40,14,-6,100,6,4,5.0,1.0,10
86,256,112,23,9,49,-9,16,20.0,4.0,7
87,256,64,20,12,16,-12,16,23.0,7.0,4
88,169,65,18,8,25,-8,13,19.0,6.0,5
89,144,96,20,4,64,-4,12,15.0,3.0,8
90,64,72,17,-1,81,1,8,10.0,2.0,9
91,289,0,17,17,0,-17,17,28.0,11.0,0
92,121,44,15,7,16,-7,11,18.0,7.0,4
93,4,0,2,2,0,-2,2,13.0,11.0,0
94,121,0,11,11,0,-11,11,22.0,11.0,0
95,1,4,5,-3,16,3,1,8.0,7.0,4
96,49,70,17,-3,100,3,7,8.0,1.0,10
97,400,40,22,18,4,-18,20,29.0,9.0,2
98,25,25,10,0,25,0,5,11.0,6.0,5
99,144,24,14,10,4,-10,12,21.0,9.0,2
100,289,0,17,17,0,-17,17,28.0,11.0,0
101,36,42,13,-1,49,1,6,10.0,4.0,7
102,64,80,18,-2,100,2,8,9.0,1.0,10
103,196,70,19,9,25,-9,14,20.0,6.0,5
104,9,0,3,3,0,-3,3,14.0,11.0,0
105,196,70,19,9,25,-9,14,20.0,6.0,5
106,169,13,14,12,1,-12,13,23.0,10.0,1
107,289,102,23,11,36,-11,17,22.0,5.0,6
108,225,75,20,10,25,-10,15,21.0,6.0,5
109,36,60,16,-4,100,4,6,7.0,1.0,10
110,0,0,3,-3,9,3,0,8.0,8.0,3
111,144,48,16,8,16,-8,12,19.0,7.0,4
112,324,108,24,12,36,-12,18,23.0,5.0,6
113,49,49,14,0,49,0,7,11.0,4.0,7
114,196,14,15,13,1,-13,14,24.0,10.0,1
115,49,0,7,7,0,-7,7,18.0,11.0,0
116,100,70,17,3,49,-3,10,14.0,4.0,7
117,25,25,10,0,25,0,5,11.0,6.0,5
118,64,16,10,6,4,-6,8,17.0,9.0,2
119,36,42,13,-1,49,1,6,10.0,4.0,7
120,25,35,12,-2,49,2,5,9.0,4.0,7
121,289,153,26,8,81,-8,17,19.0,2.0,9
122,225,60,19,11,16,-11,15,22.0,7.0,4
123,225,105,22,8,49,-8,15,19.0,4.0,7
124,49,14,9,5,4,-5,7,16.0,9.0,2
125,361,57,22,16,9,-16,19,27.0,8.0,3
126,100,30,13,7,9,-7,10,18.0,8.0,3
127,49,7,8,6,1,-6,7,17.0,10.0,1
128,25,35,12,-2,49,2,5,9.0,4.0,7
129,25,30,11,-1,36,1,5,10.0,5.0,6
130,4,16,10,-6,64,6,2,5.0,3.0,8
131,121,0,11,11,0,-11,11,22.0,11.0,0
132,289,102,23,11,36,-11,17,22.0,5.0,6
133,361,133,26,12,49,-12,19,23.0,4.0,7
134,225,15,16,14,1,-14,15,25.0,10.0,1
135,64,64,16,0,64,0,8,11.0,3.0,8
136,324,144,26,10,64,-10,18,21.0,3.0,8
137,25,40,13,-3,64,3,5,8.0,3.0,8
138,100,50,15,5,25,-5,10,16.0,6.0,5
139,64,72,17,-1,81,1,8,10.0,2.0,9
140,36,30,11,1,25,-1,6,12.0,6.0,5
141,1,9,10,-8,81,8,1,3.0,2.0,9
142,64,48,14,2,36,-2,8,13.0,5.0,6
143,0,0,0,0,0,0,0,11.0,11.0,0
144,4,20,12,-8,100,8,2,3.0,1.0,10
145,0,0,7,-7,49,7,0,4.0,4.0,7
146,1,1,2,0,1,0,1,11.0,10.0,1
147,400,40,22,18,4,-18,20,29.0,9.0,2
148,256,64,20,12,16,-12,16,23.0,7.0,4
149,36,36,12,0,36,0,6,11.0,5.0,6
150,121,0,11,11,0,-11,11,22.0,11.0,0
151,400,60,23,17,9,-17,20,28.0,8.0,3
152,361,133,26,12,49,-12,19,23.0,4.0,7
153,225,60,19,11,16,-11,15,22.0,7.0,4
154,0,0,10,-10,100,10,0,1.0,1.0,10
155,100,100,20,0,100,0,10,11.0,1.0,10
156,324,126,25,11,49,-11,18,22.0,4.0,7
157,4,18,11,-7,81,7,2,4.0,2.0,9
158,36,42,13,-1,49,1,6,10.0,4.0,7
159,81,36,13,5,16,-5,9,16.0,7.0,4
160,49,63,16,-2,81,2,7,9.0,2.0,9
161,0,0,2,-2,4,2,0,9.0,9.0,2
162,225,135,24,6,81,-6,15,17.0,2.0,9
163,9,6,5,1,4,-1,3,12.0,9.0,2
164,4,14,9,-5,49,5,2,6.0,4.0,7
165,225,60,19,11,16,-11,15,22.0,7.0,4
166,324,144,26,10,64,-10,18,21.0,3.0,8
167,324,162,27,9,81,-9,18,20.0,2.0,9
168,225,90,21,9,36,-9,15,20.0,5.0,6
169,400,100,25,15,25,-15,20,26.0,6.0,5
170,225,30,17,13,4,-13,15,24.0,9.0,2
171,121,44,15,7,16,-7,11,18.0,7.0,4
172,169,91,20,6,49,-6,13,17.0,4.0,7
173,36,36,12,0,36,0,6,11.0,5.0,6
174,324,108,24,12,36,-12,18,23.0,5.0,6
175,400,100,25,15,25,-15,20,26.0,6.0,5
176,361,38,21,17,4,-17,19,28.0,9.0,2
177,49,35,12,2,25,-2,7,13.0,6.0,5
178,196,0,14,14,0,-14,14,25.0,11.0,0
179,81,27,12,6,9,-6,9,17.0,8.0,3
180,225,60,19,11,16,-11,15,22.0,7.0,4
181,25,40,13,-3,64,3,5,8.0,3.0,8
182,144,0,12,12,0,-12,12,23.0,11.0,0
183,81,27,12,6,9,-6,9,17.0,8.0,3
184,25,5,6,4,1,-4,5,15.0,10.0,1
185,256,80,21,11,25,-11,16,22.0,6.0,5
186,121,77,18,4,49,-4,11,15.0,4.0,7
187,121,55,16,6,25,-6,11,17.0,6.0,5
188,0,0,10,-10,100,10,0,1.0,1.0,10
189,36,54,15,-3,81,3,6,8.0,2.0,9
190,225,30,17,13,4,-13,15,24.0,9.0,2
191,49,70,17,-3,100,3,7,8.0,1.0,10
192,100,20,12,8,4,-8,10,19.0,9.0,2
193,16,28,11,-3,49,3,4,8.0,4.0,7
194,9,27,12,-6,81,6,3,5.0,2.0,9
195,225,150,25,5,100,-5,15,16.0,1.0,10
196,9,24,11,-5,64,5,3,6.0,3.0,8
197,361,19,20,18,1,-18,19,29.0,10.0,1
198,81,18,11,7,4,-7,9,18.0,9.0,2
199,16,36,13,-5,81,5,4,6.0,2.0,9
200,0,0,2,-2,4,2,0,9.0,9.0,2
201,100,90,19,1,81,-1,10,12.0,2.0,9
202,36,54,15,-3,81,3,6,8.0,2.0,9
203,121,44,15,7,16,-7,11,18.0,7.0,4
204,361,0,19,19,0,-19,19,30.0,11.0,0
205,0,0,6,-6,36,6,0,5.0,5.0,6
206,64,48,14,2,36,-2,8,13.0,5.0,6
207,324,162,27,9,81,-9,18,20.0,2.0,9
208,9,30,13,-7,100,7,3,4.0,1.0,10
209,289,136,25,9,64,-9,17,20.0,3.0,8
210,9,24,11,-5,64,5,3,6.0,3.0,8
211,4,14,9,-5,49,5,2,6.0,4.0,7
212,121,44,15,7,16,-7,11,18.0,7.0,4
213,16,16,8,0,16,0,4,11.0,7.0,4
214,144,108,21,3,81,-3,12,14.0,2.0,9
215,49,63,16,-2,81,2,7,9.0,2.0,9
216,4,8,6,-2,16,2,2,9.0,7.0,4
217,289,51,20,14,9,-14,17,25.0,8.0,3
218,64,24,11,5,9,-5,8,16.0,8.0,3
219,196,126,23,5,81,-5,14,16.0,2.0,9
220,256,0,16,16,0,-16,16,27.0,11.0,0
221,100,40,14,6,16,-6,10,17.0,7.0,4
222,4,20,12,-8,100,8,2,3.0,1.0,10
223,0,0,8,-8,64,8,0,3.0,3.0,8
224,81,63,16,2,49,-2,9,13.0,4.0,7
225,400,140,27,13,49,-13,20,24.0,4.0,7
226,1,3,4,-2,9,2,1,9.0,8.0,3
227,100,60,16,4,36,-4,10,15.0,5.0,6
228,225,60,19,11,16,-11,15,22.0,7.0,4
229,225,75,20,10,25,-10,15,21.0,6.0,5
230,1,6,7,-5,36,5,1,6.0,5.0,6
231,0,0,2,-2,4,2,0,9.0,9.0,2
232,64,0,8,8,0,-8,8,19.0,11.0,0
233,49,49,14,0,49,0,7,11.0,4.0,7
234,144,0,12,12,0,-12,12,23.0,11.0,0
235,289,85,22,12,25,-12,17,23.0,6.0,5
236,16,24,10,-2,36,2,4,9.0,5.0,6
237,1,2,3,-1,4,1,1,10.0,9.0,2
238,361,171,28,10,81,-10,19,21.0,2.0,9
239,36,42,13,-1,49,1,6,10.0,4.0,7
240,196,84,20,8,36,-8,14,19.0,5.0,6
241,4,20,12,-8,100,8,2,3.0,1.0,10
242,0,0,10,-10,100,10,0,1.0,1.0,10
243,144,60,17,7,25,-7,12,18.0,6.0,5
244,196,140,24,4,100,-4,14,15.0,1.0,10
245,121,11,12,10,1,-10,11,21.0,10.0,1
246,4,4,4,0,4,0,2,11.0,9.0,2
247,1,7,8,-6,49,6,1,5.0,4.0,7
248,324,0,18,18,0,-18,18,29.0,11.0,0
249,49,28,11,3,16,-3,7,14.0,7.0,4
250,64,56,15,1,49,-1,8,12.0,4.0,7
251,289,85,22,12,25,-12,17,23.0,6.0,5
252,289,0,17,17,0,-17,17,28.0,11.0,0
253,36,42,13,-1,49,1,6,10.0,4.0,7
254,1,7,8,-6,49,6,1,5.0,4.0,7
255,25,10,7,3,4,-3,5,14.0,9.0,2
256,1,10,11,-9,100,9,1,2.0,1.0,10
257,36,36,12,0,36,0,6,11.0,5.0,6
258,256,96,22,10,36,-10,16,21.0,5.0,6
259,49,56,15,-1,64,1,7,10.0,3.0,8
260,324,72,22,14,16,-14,18,25.0,7.0,4
261,121,11,12,10,1,-10,11,21.0,10.0,1
