,G,post,pre,x,y,z
138,True,13,13,8,11,13
139,True,3,3,5,16,3
140,True,0,0,4,12,0
141,True,15,15,4,18,15
142,True,8,8,6,7,8
143,True,18,18,11,16,18
144,True,14,14,6,18,14
145,True,11,11,7,14,11
146,True,17,17,2,9,17
147,True,20,20,2,10,20
148,True,14,14,13,19,14
149,True,1,1,11,15,1
150,True,16,16,9,11,16
151,True,17,17,9,14,17
152,True,14,14,11,14,14
153,True,7,7,11,14,7
154,True,16,16,11,13,16
155,True,5,5,1,4,5
156,True,12,12,2,18,12
157,True,2,2,1,8,2
158,True,3,3,10,19,3
159,True,10,10,4,14,10
160,True,6,6,4,10,6
161,True,13,13,13,18,13
162,True,10,10,12,16,10
163,True,13,13,5,20,13
164,True,13,13,10,18,13
165,True,6,6,13,17,6
166,True,18,18,4,16,18
167,True,4,4,1,20,4
168,True,0,0,12,20,0
169,True,14,14,11,20,14
170,True,5,5,10,14,5
171,True,4,4,4,12,4
172,True,9,9,9,16,9
173,True,0,0,15,19,0
174,True,10,10,15,17,10
175,True,16,16,10,18,16
176,True,19,19,2,20,19
177,True,19,19,1,6,19
178,True,3,3,2,10,3
179,True,13,13,8,18,13
180,True,13,13,7,15,13
181,True,6,6,13,18,6
182,True,15,15,6,12,15
183,True,11,11,1,17,11
184,True,2,2,3,7,2
185,True,11,11,2,13,11
186,True,4,4,12,19,4
187,True,14,14,1,5,14
188,True,5,5,1,13,5
189,True,14,14,14,16,14
190,True,14,14,8,18,14
191,True,7,7,14,16,7
192,True,16,16,6,12,16
193,True,0,0,3,10,0
194,True,20,20,12,16,20
195,True,12,12,5,6,12
196,True,11,11,10,14,11
197,True,15,15,2,6,15
198,True,6,6,7,16,6
199,True,3,3,10,13,3
200,True,5,5,7,13,5
201,True,3,3,1,15,3
202,True,13,13,8,15,13
203,True,15,15,11,15,15
204,True,2,2,4,10,2
205,True,0,0,4,9,0
206,True,17,17,1,15,17
207,True,5,5,10,17,5
208,True,10,10,4,5,10
209,True,9,9,9,12,9
210,True,12,12,1,4,12
211,True,6,6,6,9,6
212,True,17,17,5,12,17
213,True,2,2,12,17,2
214,True,20,20,10,16,20
215,True,11,11,13,15,11
216,True,18,18,4,11,18
217,True,4,4,13,16,4
