,(1+p),(1-p),(n*n),(n*x),(n*y),(n+x),(n+y),(n-x),(n-y),(x*x),(x*y),(x+y),(x-n),(x-y),(y*y),(y-n),(y-x),expected_post,n,p,post-init,x,y
56,1.25,0.75,256,288,192,34,28,-2,4,324,216,30,2,6,144,-4,-6,66.74,16,0.25,48.739999999999995,18,12
57,1.47,0.53,121,121,11,22,12,0,10,121,11,12,0,10,1,-10,-10,16.02,11,0.47,5.02,11,1
58,1.16,0.84,256,112,64,23,20,9,12,49,28,11,-9,3,16,-12,-3,17.05,16,0.16,10.05,7,4
59,1.06,0.94,225,165,210,26,29,4,1,121,154,25,-4,-3,196,-1,3,23.66,15,0.06,12.66,11,14
60,1.56,0.44,121,0,220,11,31,11,-9,0,0,20,-11,-20,400,9,20,123.24,11,0.56,123.24,0,20
61,1.66,0.34,121,44,132,15,23,7,-1,16,48,16,-7,-8,144,1,8,91.72,11,0.66,87.72,4,12
62,1.9,0.1,196,14,98,15,21,13,7,1,7,8,-13,-6,49,-7,6,89.31,14,0.9,88.31,1,7
63,1.94,0.06,256,96,208,22,29,10,3,36,78,19,-10,-7,169,-3,7,201.62,16,0.94,195.62,6,13
64,1.06,0.94,121,55,209,16,30,6,-8,25,95,24,-6,-14,361,8,14,18.15,11,0.06,13.149999999999999,5,19
65,1.18,0.82,25,100,90,25,23,-15,-13,400,360,38,15,2,324,13,-2,35.12,5,0.18,15.119999999999997,20,18
66,1.71,0.29,25,10,0,7,5,3,5,4,0,2,-3,2,0,-5,-2,2.0,5,0.71,0.0,2,0
67,1.44,0.56,36,120,12,26,8,-14,4,400,40,22,14,18,4,-4,-18,25.22,6,0.44,5.219999999999999,20,2
68,1.29,0.71,361,323,95,36,24,2,14,289,85,22,-2,12,25,-14,-12,44.05,19,0.29,27.049999999999997,17,5
69,1.05,0.95,49,7,126,8,25,6,-11,1,18,19,-6,-17,324,11,17,6.94,7,0.05,5.94,1,18
70,1.9,0.1,361,228,285,31,34,7,4,144,180,27,-7,-3,225,-4,3,268.86,19,0.9,256.86,12,15
71,1.89,0.11,225,90,225,21,30,9,0,36,90,21,-9,-9,225,0,9,207.69,15,0.89,201.69,6,15
72,1.19,0.81,16,72,20,22,9,-14,-1,324,90,23,14,13,25,1,-13,22.03,4,0.19,4.030000000000001,18,5
73,1.71,0.29,121,209,88,30,19,-8,3,361,152,27,8,11,64,-3,-11,81.82,11,0.71,62.81999999999999,19,8
74,1.08,0.92,36,90,48,21,14,-9,-2,225,120,23,9,7,64,2,-7,19.03,6,0.08,4.030000000000001,15,8
75,1.5,0.5,121,66,154,17,25,5,-3,36,84,20,-5,-8,196,3,8,80.84,11,0.5,74.84,6,14
76,1.46,0.54,324,126,18,25,19,11,17,49,7,8,-11,6,1,-17,-6,15.3,18,0.46,8.3,7,1
77,1.67,0.33,1,7,3,8,4,-6,-2,49,21,10,6,4,9,2,-4,8.94,1,0.67,1.9399999999999995,7,3
78,1.47,0.53,324,288,36,34,20,2,16,256,32,18,-2,14,4,-16,-14,32.72,18,0.47,16.72,16,2
79,1.76,0.24,49,140,56,27,15,-13,-1,400,160,28,13,12,64,1,-12,62.54,7,0.76,42.54,20,8
80,1.85,0.15,361,114,76,25,23,13,15,36,24,10,-13,2,16,-15,-2,70.81,19,0.85,64.81,6,4
81,1.47,0.53,49,49,98,14,21,0,-7,49,98,21,0,-7,196,7,7,53.56,7,0.47,46.56,7,14
82,1.79,0.21,196,252,28,32,16,-4,12,324,36,20,4,16,4,-12,-16,40.2,14,0.79,22.200000000000003,18,2
83,1.62,0.38,225,45,210,18,29,12,1,9,42,17,-12,-11,196,-1,11,131.86,15,0.62,128.86,3,14
84,1.1,0.9,9,45,36,18,15,-12,-9,225,180,27,12,3,144,9,-3,18.89,3,0.1,3.8900000000000006,15,12
85,1.57,0.43,25,100,75,25,20,-15,-10,400,300,35,15,5,225,10,-5,63.17,5,0.57,43.17,20,15
86,1.06,0.94,64,48,16,14,10,2,6,36,12,8,-2,4,4,-6,-4,7.06,8,0.06,1.0599999999999996,6,2
87,1.47,0.53,25,25,15,10,8,0,2,25,15,8,0,2,9,-2,-2,11.98,5,0.47,6.98,5,3
88,1.07,0.93,9,21,27,10,12,-4,-6,49,63,16,4,-2,81,6,2,9.09,3,0.07,2.09,7,9
89,1.34,0.66,121,55,198,16,29,6,-7,25,90,23,-6,-13,324,7,13,71.02,11,0.34,66.02,5,18
90,1.34,0.66,289,272,136,33,25,1,9,256,128,24,-1,8,64,-9,-8,62.7,17,0.34,46.7,16,8
91,1.36,0.64,9,54,48,21,19,-15,-13,324,288,34,15,2,256,13,-2,36.24,3,0.36,18.240000000000002,18,16
92,1.68,0.32,64,32,160,12,28,4,-12,16,80,24,-4,-16,400,12,16,113.76,8,0.68,109.76,4,20
93,1.09,0.91,16,60,48,19,16,-11,-8,225,180,27,11,3,144,8,-3,19.15,4,0.09,4.149999999999999,15,12
94,1.31,0.69,64,112,144,22,26,-6,-10,196,252,32,6,-4,324,10,4,58.24,8,0.31,44.24,14,18
95,1.88,0.12,100,70,180,17,28,3,-8,49,126,25,-3,-11,324,8,11,164.68,10,0.88,157.68,7,18
96,1.23,0.77,400,120,400,26,40,14,0,36,120,26,-14,-14,400,0,14,97.8,20,0.23,91.8,6,20
97,1.91,0.09,324,162,54,27,21,9,15,81,27,12,-9,6,9,-15,-6,58.12,18,0.91,49.12,9,3
98,1.34,0.66,100,0,120,10,22,10,-2,0,0,12,-10,-12,144,2,12,40.82,10,0.34,40.82,0,12
99,1.42,0.58,49,77,140,18,27,-4,-13,121,220,31,4,-9,400,13,9,69.6,7,0.42,58.599999999999994,11,20
100,1.31,0.69,400,80,320,24,36,16,4,16,64,20,-16,-12,256,-4,12,101.79,20,0.31,97.79,4,16
101,1.77,0.23,100,110,60,21,16,-1,4,121,66,17,1,5,36,-4,-5,57.09,10,0.77,46.09,11,6
102,1.79,0.21,49,126,63,25,16,-11,-2,324,162,27,11,9,81,2,-9,67.48,7,0.79,49.480000000000004,18,9
103,1.41,0.59,49,91,49,20,14,-6,0,169,91,20,6,6,49,0,-6,33.16,7,0.41,20.159999999999997,13,7
104,1.08,0.92,25,15,60,8,17,2,-7,9,36,15,-2,-9,144,7,9,7.63,5,0.08,4.63,3,12
105,1.52,0.48,196,196,224,28,30,0,-2,196,224,30,0,-2,256,2,2,130.77,14,0.52,116.77000000000001,14,16
106,1.51,0.49,25,50,15,15,8,-5,2,100,30,13,5,7,9,-2,-7,17.6,5,0.51,7.600000000000001,10,3
107,1.86,0.14,144,96,84,20,19,4,5,64,56,15,-4,1,49,-5,-1,79.71,12,0.86,71.71,8,7
108,1.32,0.68,225,135,15,24,16,6,14,81,9,10,-6,8,1,-14,-8,13.83,15,0.32,4.83,9,1
109,1.89,0.11,49,119,105,24,22,-10,-8,289,255,32,10,2,225,8,-2,111.44,7,0.89,94.44,17,15
110,1.26,0.74,64,24,160,11,28,5,-12,9,60,23,-5,-17,400,12,17,45.0,8,0.26,42.0,3,20
111,1.76,0.24,324,90,270,23,33,13,3,25,75,20,-13,-10,225,-3,10,210.38,18,0.76,205.38,5,15
112,1.08,0.92,361,361,247,38,32,0,6,361,247,32,0,6,169,-6,-6,39.02,19,0.08,20.020000000000003,19,13
113,1.06,0.94,225,180,285,27,34,3,-4,144,228,31,-3,-7,361,4,7,28.87,15,0.06,16.87,12,19
114,1.48,0.52,289,323,204,36,29,-2,5,361,228,31,2,7,144,-5,-7,117.16,17,0.48,98.16,19,12
115,1.24,0.76,289,34,221,19,30,15,4,4,26,15,-15,-11,169,-4,11,54.42,17,0.24,52.42,2,13
116,1.81,0.19,169,65,117,18,22,8,4,25,45,14,-8,-4,81,-4,4,99.34,13,0.81,94.34,5,9
117,1.55,0.45,400,300,20,35,21,5,19,225,15,16,-5,14,1,-19,-14,26.0,20,0.55,11.0,15,1
118,1.92,0.08,324,288,18,34,19,2,17,256,16,17,-2,15,1,-17,-15,32.52,18,0.92,16.520000000000003,16,1
119,1.61,0.39,9,15,51,8,20,-2,-14,25,85,22,2,-12,289,14,12,36.01,3,0.61,31.009999999999998,5,17
120,1.75,0.25,225,75,60,20,19,10,11,25,20,9,-10,1,16,-11,-1,50.13,15,0.75,45.13,5,4
121,1.45,0.55,196,98,28,21,16,7,12,49,14,9,-7,5,4,-12,-5,19.78,14,0.45,12.780000000000001,7,2
122,1.31,0.69,361,95,95,24,24,14,14,25,25,10,-14,0,25,-14,0,34.92,19,0.31,29.92,5,5
123,1.46,0.54,25,80,80,21,21,-11,-11,256,256,32,11,0,256,11,0,53.34,5,0.46,37.34,16,16
124,1.36,0.64,169,39,117,16,22,10,4,9,27,12,-10,-6,81,-4,6,45.73,13,0.36,42.73,3,9
125,1.55,0.45,25,85,60,22,17,-12,-7,289,204,29,12,5,144,7,-5,50.38,5,0.55,33.38,17,12
126,1.76,0.24,64,16,8,10,9,6,7,4,2,3,-6,1,1,-7,-1,8.11,8,0.76,6.109999999999999,2,1
127,1.14,0.86,324,306,198,35,29,1,7,289,187,28,-1,6,121,-7,-6,44.74,18,0.14,27.740000000000002,17,11
128,1.32,0.68,49,140,35,27,12,-13,2,400,100,25,13,15,25,-2,-15,30.97,7,0.32,10.969999999999999,20,5
129,1.55,0.45,16,40,48,14,16,-6,-8,100,120,22,6,-2,144,8,2,35.8,4,0.55,25.799999999999997,10,12
130,1.62,0.38,361,19,57,20,22,18,16,1,3,4,-18,-2,9,-16,2,35.99,19,0.62,34.99,1,3
131,1.1,0.9,49,0,119,7,24,7,-10,0,0,17,-7,-17,289,10,17,10.37,7,0.1,10.37,0,17
132,1.77,0.23,1,15,6,16,7,-14,-5,225,90,21,14,9,36,5,-9,19.66,1,0.77,4.66,15,6
133,1.23,0.77,4,24,6,14,5,-10,-1,144,36,15,10,9,9,1,-9,13.34,2,0.23,1.3399999999999999,12,3
134,1.2,0.8,121,0,143,11,24,11,-2,0,0,13,-11,-13,169,2,13,29.61,11,0.2,29.61,0,13
135,1.09,0.91,1,0,2,1,3,1,-1,0,0,2,-1,-2,4,1,2,0.18,1,0.09,0.18,0,2
136,1.5,0.5,400,100,260,25,33,15,7,25,65,18,-15,-8,169,-7,8,135.18,20,0.5,130.18,5,13
137,1.17,0.83,100,70,180,17,28,3,-8,49,126,25,-3,-11,324,8,11,37.82,10,0.17,30.82,7,18
138,1.59,0.41,100,70,200,17,30,3,-10,49,140,27,-3,-13,400,10,13,125.6,10,0.59,118.6,7,20
139,1.29,0.71,196,280,252,34,32,-6,-4,400,360,38,6,2,324,4,-2,92.18,14,0.29,72.18,20,18
140,1.2,0.8,16,76,68,23,21,-15,-13,361,323,36,15,2,289,13,-2,32.87,4,0.2,13.869999999999997,19,17
141,1.54,0.46,400,200,180,30,29,10,11,100,90,19,-10,1,81,-11,-1,106.01,20,0.54,96.01,10,9
142,1.57,0.43,36,36,102,12,23,0,-11,36,102,23,0,-11,289,11,11,65.81,6,0.57,59.81,6,17
143,1.57,0.43,225,255,60,32,19,-2,11,289,68,21,2,13,16,-11,-13,50.82,15,0.57,33.82,17,4
144,1.87,0.13,196,112,252,22,32,6,-4,64,144,26,-6,-10,324,4,10,227.17,14,0.87,219.17,8,18
145,1.57,0.43,81,108,81,21,18,-3,0,144,108,21,3,3,81,0,-3,57.4,9,0.57,45.4,12,9
146,1.64,0.36,64,0,120,8,23,8,-7,0,0,15,-8,-15,225,7,15,76.68,8,0.64,76.68,0,15
147,1.35,0.65,36,54,30,15,11,-3,1,81,45,14,3,4,25,-1,-4,19.59,6,0.35,10.59,9,5
148,1.6,0.4,256,256,96,32,22,0,10,256,96,22,0,10,36,-10,-10,73.96,16,0.6,57.959999999999994,16,6
149,1.12,0.88,16,4,4,5,5,3,3,1,1,2,-3,0,1,-3,0,1.48,4,0.12,0.48,1,1
150,1.06,0.94,4,10,0,7,2,-3,2,25,0,5,3,5,0,-2,-5,5.0,2,0.06,0.0,5,0
151,1.4,0.6,144,180,96,27,20,-3,4,225,120,23,3,7,64,-4,-7,54.09,12,0.4,39.09,15,8
152,1.94,0.06,289,68,323,21,36,13,-2,16,76,23,-13,-15,361,2,15,309.52,17,0.94,305.52,4,19
153,1.5,0.5,100,30,200,13,30,7,-10,9,60,23,-7,-17,400,10,17,101.32,10,0.5,98.32,3,20
154,1.69,0.31,289,289,119,34,24,0,10,289,119,24,0,10,49,-10,-10,99.08,17,0.69,82.08,17,7
155,1.89,0.11,1,12,20,13,21,-11,-19,144,240,32,11,-8,400,19,8,29.96,1,0.89,17.96,12,20
156,1.87,0.13,4,36,24,20,14,-16,-10,324,216,30,16,6,144,10,-6,38.93,2,0.87,20.93,18,12
157,1.48,0.52,256,128,128,24,24,8,8,64,64,16,-8,0,64,-8,0,68.8,16,0.48,60.8,8,8
158,1.86,0.14,25,65,40,18,13,-8,-3,169,104,21,8,5,64,3,-5,47.62,5,0.86,34.62,13,8
159,1.38,0.62,25,15,80,8,21,2,-11,9,48,19,-2,-13,256,11,13,32.92,5,0.38,29.92,3,16
160,1.36,0.64,361,152,342,27,37,11,1,64,144,26,-11,-10,324,-1,10,130.08,19,0.36,122.08000000000001,8,18
161,1.36,0.64,64,144,144,26,26,-10,-10,324,324,36,10,0,324,10,0,69.44,8,0.36,51.44,18,18
162,1.58,0.42,144,48,24,16,14,8,10,16,8,6,-8,2,4,-10,-2,18.04,12,0.58,14.04,4,2
163,1.27,0.73,16,52,68,17,21,-9,-13,169,221,30,9,-4,289,13,4,30.65,4,0.27,17.65,13,17
164,1.2,0.8,225,300,30,35,17,-5,13,400,40,22,5,18,4,-13,-18,25.92,15,0.2,5.920000000000002,20,2
165,1.22,0.78,256,224,320,30,36,2,-4,196,280,34,-2,-6,400,4,6,83.8,16,0.22,69.8,14,20
166,1.48,0.52,100,0,140,10,24,10,-4,0,0,14,-10,-14,196,4,14,66.56,10,0.48,66.56,0,14
167,1.95,0.05,289,119,340,24,37,10,-3,49,140,27,-10,-13,400,3,13,328.36,17,0.95,321.36,7,20
168,1.86,0.14,25,55,75,16,20,-6,-10,121,165,26,6,-4,225,10,4,75.29,5,0.86,64.29,11,15
169,1.39,0.61,25,45,100,14,25,-4,-15,81,180,29,4,-11,400,15,11,47.4,5,0.39,38.4,9,20
170,1.15,0.85,4,12,22,8,13,-4,-9,36,66,17,4,-5,121,9,5,9.15,2,0.15,3.1500000000000004,6,11
171,1.84,0.16,289,102,85,23,22,11,12,36,30,11,-11,1,25,-12,-1,77.46,17,0.84,71.46,6,5
172,1.29,0.71,9,30,6,13,5,-7,1,100,20,12,7,8,4,-1,-8,11.73,3,0.29,1.7300000000000004,10,2
173,1.36,0.64,324,252,108,32,24,4,12,196,84,20,-4,8,36,-12,-8,52.87,18,0.36,38.87,14,6
174,1.56,0.44,100,20,80,12,18,8,2,4,16,10,-8,-6,64,-2,6,46.86,10,0.56,44.86,2,8
175,1.37,0.63,361,95,247,24,32,14,6,25,65,18,-14,-8,169,-6,8,94.36,19,0.37,89.36,5,13
176,1.57,0.43,144,84,120,19,22,5,2,49,70,17,-5,-3,100,-2,3,76.1,12,0.57,69.1,7,10
177,1.79,0.21,400,260,400,33,40,7,0,169,260,33,-7,-7,400,0,7,331.04,20,0.79,318.04,13,20
178,1.48,0.52,196,126,154,23,25,5,3,81,99,20,-5,-2,121,-3,2,84.22,14,0.48,75.22,9,11
179,1.37,0.63,49,42,133,13,26,1,-12,36,114,25,-1,-13,361,12,13,54.91,7,0.37,48.91,6,19
180,1.46,0.54,289,340,323,37,36,-3,-2,400,380,39,3,1,361,2,-1,168.35,17,0.46,148.35,20,19
181,1.69,0.31,49,91,133,20,26,-6,-12,169,247,32,6,-6,361,12,6,105.8,7,0.69,92.8,13,19
182,1.91,0.09,9,12,15,7,8,-1,-2,16,20,9,1,-1,25,2,1,17.45,3,0.91,13.45,4,5
183,1.56,0.44,169,117,169,22,26,4,0,81,117,22,-4,-4,169,0,4,105.1,13,0.56,96.1,9,13
184,1.52,0.48,100,110,40,21,14,-1,6,121,44,15,1,7,16,-6,-7,31.35,10,0.52,20.35,11,4
185,1.9,0.1,256,288,64,34,20,-2,12,324,72,22,2,14,16,-12,-14,75.42,16,0.9,57.42,18,4
186,1.38,0.62,225,135,225,24,30,6,0,81,135,24,-6,-6,225,0,6,94.98,15,0.38,85.98,9,15
187,1.09,0.91,1,1,19,2,20,0,-18,1,19,20,0,-18,361,18,18,2.86,1,0.09,1.8599999999999999,1,19
188,1.32,0.68,81,180,45,29,14,-11,4,400,100,25,11,15,25,-4,-15,34.37,9,0.32,14.369999999999997,20,5
189,1.62,0.38,256,80,176,21,27,11,5,25,55,16,-11,-6,121,-5,6,115.09,16,0.62,110.09,5,11
190,1.79,0.21,144,84,228,19,31,5,-7,49,133,26,-5,-12,361,7,12,188.41,12,0.79,181.41,7,19
191,1.38,0.62,49,91,84,20,19,-6,-5,169,156,25,6,1,144,5,-1,43.55,7,0.38,30.549999999999997,13,12
192,1.38,0.62,1,19,4,20,5,-18,-3,361,76,23,18,15,16,3,-15,20.34,1,0.38,1.3399999999999999,19,4
193,1.77,0.23,289,272,221,33,30,1,4,256,208,29,-1,3,169,-4,-3,185.1,17,0.77,169.1,16,13
194,1.43,0.57,324,126,252,25,32,11,4,49,98,21,-11,-7,196,-4,7,113.26,18,0.43,106.26,7,14
195,1.52,0.48,81,117,45,22,14,-4,4,169,65,18,4,8,25,-4,-8,36.17,9,0.52,23.17,13,5
196,1.28,0.72,361,209,285,30,34,8,4,121,165,26,-8,-4,225,-4,4,92.99,19,0.28,81.99,11,15
197,1.31,0.69,289,255,51,32,20,2,14,225,45,18,-2,12,9,-14,-12,30.86,17,0.31,15.86,15,3
198,1.66,0.34,36,120,108,26,24,-14,-12,400,360,38,14,2,324,12,-2,91.71,6,0.66,71.71,20,18
199,1.49,0.51,36,54,36,15,12,-3,0,81,54,15,3,3,36,0,-3,26.86,6,0.49,17.86,9,6
200,1.18,0.82,225,90,0,21,15,9,15,36,0,6,-9,6,0,-15,-6,6.0,15,0.18,0.0,6,0
201,1.91,0.09,64,72,80,17,18,-1,-2,81,90,19,1,-1,100,2,1,81.78,8,0.91,72.78,9,10
202,1.9,0.1,1,10,0,11,1,-9,1,100,0,10,9,10,0,-1,-10,10.0,1,0.9,0.0,10,0
203,1.26,0.74,400,280,120,34,26,6,14,196,84,20,-6,8,36,-14,-8,44.97,20,0.26,30.97,14,6
204,1.66,0.34,361,380,38,39,21,-1,17,400,40,22,1,18,4,-17,-18,45.12,19,0.66,25.119999999999997,20,2
205,1.4,0.6,121,165,66,26,17,-4,5,225,90,21,4,9,36,-5,-9,40.58,11,0.4,25.58,15,6
206,1.07,0.93,400,240,0,32,20,8,20,144,0,12,-8,12,0,-20,-12,12.0,20,0.07,0.0,12,0
207,1.2,0.8,36,0,78,6,19,6,-7,0,0,13,-6,-13,169,7,13,15.73,6,0.2,15.73,0,13
208,1.21,0.79,100,150,40,25,14,-5,6,225,60,19,5,11,16,-6,-11,23.6,10,0.21,8.600000000000001,15,4
209,1.51,0.49,49,63,0,16,7,-2,7,81,0,9,2,9,0,-7,-9,9.0,7,0.51,0.0,9,0
210,1.93,0.07,121,110,55,21,16,1,6,100,50,15,-1,5,25,-6,-5,61.29,11,0.93,51.29,10,5
211,1.54,0.46,9,60,18,23,9,-17,-3,400,120,26,17,14,36,3,-14,29.42,3,0.54,9.420000000000002,20,6
212,1.83,0.17,144,180,120,27,22,-3,2,225,150,25,3,5,100,-2,-5,113.76,12,0.83,98.76,15,10
213,1.57,0.43,289,272,0,33,17,1,17,256,0,16,-1,16,0,-17,-16,16.0,17,0.57,0.0,16,0
214,1.37,0.63,361,342,19,37,20,1,18,324,18,19,-1,17,1,-18,-17,25.06,19,0.37,7.059999999999999,18,1
215,1.74,0.26,81,90,117,19,22,-1,-4,100,130,23,1,-3,169,4,3,96.68,9,0.74,86.68,10,13
216,1.9,0.1,169,247,39,32,16,-6,10,361,57,22,6,16,9,-10,-16,54.26,13,0.9,35.26,19,3
217,1.64,0.36,225,210,165,29,26,1,4,196,154,25,-1,3,121,-4,-3,119.93,15,0.64,105.93,14,11
218,1.77,0.23,400,320,280,36,34,4,6,256,224,30,-4,2,196,-6,-2,232.8,20,0.77,216.8,16,14
219,1.48,0.52,196,56,14,18,15,10,13,16,4,5,-10,3,1,-13,-3,10.74,14,0.48,6.74,4,1
220,1.09,0.91,9,42,51,17,20,-11,-14,196,238,31,11,-3,289,14,3,18.93,3,0.09,4.93,14,17
221,1.77,0.23,169,156,208,25,29,1,-3,144,192,28,-1,-4,256,3,4,170.56,13,0.77,158.56,12,16
222,1.52,0.48,49,7,126,8,25,6,-11,1,18,19,-6,-17,324,11,17,65.44,7,0.52,64.44,1,18
